Expression,d,run,seed,train_mse,test_mse,run_time_s,expr
P2,8,0,0,0.0007272564133744306,0.019804890232001958,7.238142684102058,((-3.029291) + (0.440445 * (((0.256728 ^ 2) * (((((2.059996 + (0.722734 * X2)) + (((-0.786992) * X1) + (3.225762 * X2))) + (0.256728 ^ 2)) + ((((-1.780602) * X1) + (0.256728 ^ 2)) - ((-0.423766) * X1))) + ((((2.648004 * X1) + ((-0.680913) + (0.673017 * X2))) ^ 2) + ((-0.680913) + (0.722734 * X2))))) + ((((-1.780602) * X1) ^ 2) + ((0.077923 + (((2.059996 + (1.064224 * X2)) - ((-0.423766) * X1)) * (2.187688 * X2))) + (((-0.786992) * X1) + (1.246120 * X2)))))))
P2,8,1,1,5.347097137932809e-05,0.0017272153912489673,6.938671052455902,((-5.499203) + (0.146890 * (((((((-1.502233) * X2) - (0.571152 * X1)) ^ 2) - ((((1.772454 * X1) - ((((-1.598397) * X1) ^ 2) - ((-1.410301) * X2))) - (((1.132794 * X2) + 2.358119) ^ 2)) - ((((-1.598397) * X1) ^ 2) - ((-2.312235) * X2)))) + (((((-1.502233) * X2) - (0.585761 * X1)) ^ 2) - ((((1.772454 * X1) - ((((-1.598397) * X1) ^ 2) - ((-1.082093) * X2))) - (((1.132794 * X2) + 2.358119) ^ 2)) - ((((-1.598397) * X1) ^ 2) - ((-2.312235) * X2))))) + (((0.035352 * X2) + 2.500876) ^ 2))))
P2,8,2,2,0.0029677762586487483,0.040448152572402925,7.244741020724177,((-3.866709) + (0.143612 * ((((((((0.707107 * X1) - (2.166198 * X1)) ^ 2) - (((-0.548853) * X1) ^ 2)) + (6.283185 * X2)) + (((-0.403937) * X2) - (2.166198 * X1))) + (((((2.220599 * X1) ^ 2) + ((((-1.600944) * X2) - (0.666425 * X1)) ^ 2)) + ((((-1.507788) * X2) + (-1.322371)) ^ 2)) + (((-0.262946) * X1) + ((((-0.403937) * X2) - (1.772454 * X1)) ^ 2)))) + ((((0.879514 * X1) ^ 2) + (((((-1.507788) * X2) + (-2.132435)) ^ 2) + ((0.416686 * X2) - (0.485707 * X1)))) - ((0.622521 * X1) + ((-1.673100) * X2))))))
P2,8,3,3,0.0026914053647987693,0.03210950523027167,7.287922888994217,((-5.217745) + (0.225252 * (((((1.772454 * X2) + 3.141593) ^ 2) + (((-0.436827) ^ 2) * (((-0.436827) - (((2.034041 * X1) ^ 2) + (((-0.984778) * X2) + ((-0.623364) * X1)))) + (((-0.436827) ^ 2) * (((1.414214 * X2) * (-0.325457)) + (((1.772454 * X2) + 3.141593) ^ 2)))))) + (((((-1.410609) * X1) ^ 2) + ((2.034041 * X1) ^ 2)) + ((((-1.073221) ^ 2) * ((-0.978144) * X1)) + ((((0.903618 * X1) ^ 2) + ((-1.368919) * X1)) + ((((-0.978144) * X1) + ((-1.159961) * X2)) ^ 2)))))))
P2,8,4,4,0.0005547003489112291,0.010686805547171484,7.458037845790386,((-3.810122) + (0.340018 * (0.803702 + (((((0.500220 * X1) + (1.503251 * X2)) ^ 2) + (0.838727 * X2)) + (((1.569941 * X2) + (0.108227 * ((0.500220 * X1) + (0.611514 * X2)))) + ((((0.697078 * X1) ^ 2) + (((0.750689 * X1) ^ 2) + ((((-0.891795) * X2) ^ 2) + (((-0.907656) * X1) + (1.930759 * X2))))) + (((1.403053 * X1) ^ 2) + ((((1.199607 * X1) ^ 2) + 1.744623) + (((-0.657114) * X1) + (3.360631 * X2))))))))))
P2,16,0,0,0.001163039000553129,0.04023412500926888,7.197193831205368,((-3.019299) + (0.302858 * (((((1.888638 * X2) + ((((1.105661 * X2) - (1.423631 * X1)) - (-0.106400)) + ((((1.888638 * X2) - (-1.258728)) - ((-1.344143) * X2)) + ((1.635352 * X1) ^ 2)))) * 0.220016) + ((((-0.975455) * X2) + ((-0.864347) * X1)) ^ 2)) + ((((((1.105661 * X2) - (1.423631 * X1)) + (6.283185 * X2)) + ((((-1.128443) * X1) ^ 2) + ((1.635352 * X1) ^ 2))) + (((((2.097074 * X2) - 2.507869) ^ 2) + ((-0.036225) ^ 2)) * ((-0.045209) ^ 2))) + ((1.569174 * X2) ^ 2)))))
P2,16,1,1,0.0007769195700933406,0.022596666464522883,6.896979853510857,((-3.393147) + (0.276106 * ((((((0.434294 * X2) ^ 2) + (((0.085307 - 0.085307) ^ 2) * (((-1.714477) * X1) ^ 2))) + (1.787737 * X2)) * 0.688744) + (((((-1.714477) * X1) + (((((-0.968103) * X1) ^ 2) + (0.085307 * ((-0.663465) * X2))) + (2.714581 * X2))) + (((((1.787737 * X2) - (-1.015270)) ^ 2) + (((-1.533601) * X1) + 0.524916)) + ((1.366002 * X2) + ((((-1.714477) * X1) ^ 2) + ((1.387604 * X1) - ((-0.663465) * X2)))))) + (((1.387604 * X1) - ((-0.663465) * X2)) ^ 2)))))
P2,16,2,2,0.000435220450176892,0.014480632716117778,6.789001187309623,((-2.991204) + (0.334274 * (((((((1.498696 * X1) ^ 2) + (((-0.336706) ^ 2) + (2.720543 * X2))) - ((-0.486739) * X2)) + (((((1.498696 * X1) ^ 2) + (2.720543 * X2)) + ((1.600233 * X2) ^ 2)) + ((((2.718282 * X2) * ((-0.943495) * X1)) * (-0.592700)) + (1.180084 * X2)))) - (1.616319 * X1)) + (((((((2.720543 * X2) + (2.720543 * X2)) - ((-0.486739) * X2)) - ((-0.486739) * X1)) + ((1.498696 * X1) ^ 2)) + (((-2.026188) * X2) ^ 2)) * 0.133231))))
P2,16,3,3,4.228800155247267e-05,0.0023899024235139745,7.099334770813584,((-3.841103) + ((-0.291653) * (((((((1.189577 * X2) + (0.434294 * X1)) + (((((-0.956252) * X1) + (3.067004 * X2)) - (((-0.899267) * X1) ^ 2)) + (((1.189577 * X2) + (0.741140 * X1)) ^ 2))) * (-0.083402)) - (((1.189577 * X2) ^ 2) - ((((-0.899267) * X1) ^ 2) + ((-1.477105) * X1)))) * (-0.083402)) - ((((((-0.956252) * X1) + (3.067004 * X2)) - (((-0.728200) * X2) + (0.707107 * X1))) + (((1.189577 * X2) + (0.741140 * X1)) ^ 2)) + ((((-1.751809) + ((-1.508959) * X2)) ^ 2) + ((2.206213 * X1) ^ 2))))))
P2,16,4,4,0.00012688268109058192,0.007509074691737214,6.886491548269987,((-4.703247) + (0.315471 * (((((2.302585 - ((-1.816392) * X2)) ^ 2) + (((-0.029720) * (((4.217499 * X1) + ((2.322319 * X1) ^ 2)) - ((((-1.829190) * X2) * (2.491252 * X1)) - ((2.322319 * X1) ^ 2)))) - ((((-1.829190) * X2) * (0.955949 * X1)) - ((0.802120 * X1) - (-0.029720))))) + ((2.322319 * X1) ^ 2)) + (0.199609 - (2.322319 * X1)))))
