Expression,d,run,seed,train_mse,test_mse,expr
P3,16,2,2,2922.185392410344,1712082.1479050883,(2.722590446472168 + (1.012692570686340 * ((((0.772598683834076 * X11) ^ 2) - (((0.515836298465729 * X1) ^ 2) ^ 2)) + ((39.090660095214844 * X2) + (((((-1.403710842132568) * X2) + (((0.519538640975952 * X1) ^ 2) - ((-1.160115361213684) * X1))) ^ 2) - ((-26.129961013793945) * X1))))))
P3,16,3,3,1230.253256310522,709934.6049775743,(2.221156120300293 + (0.993098795413971 * ((29.503080368041992 * X1) + (((((0.113317206501961 * X2) + ((-0.034939967095852) * X1)) ^ 2) * ((11.517742156982422 * X2) + (19.411113739013672 + (8.068149566650391 * X1)))) * (((-0.732327044010162) * X2) + (19.411113739013672 + (0.210553795099258 * X1)))))))
P3,16,4,4,3870.0411517232174,1718116.7754617797,(4.628336429595947 + (0.987243175506592 * ((((1.617124199867249 * X2) - (1.069034337997437 * X1)) ^ 2) + ((35.594371795654297 * X1) - ((-33.335323333740234) * X2)))))
P3,32,0,0,2238.7643183119008,1198239.2003836888,(2.231221437454224 + (0.994494259357452 * ((((1.094251990318298 * X1) - (1.609333753585815 * X2)) ^ 2) + ((((((0.968489348888397 * X1) - (0.196653187274933 * X2)) ^ 2) * (2.013994455337524 * X1)) - ((((-6.414906024932861) * X1) - ((-64.952346801757812) * X2)) - (103.924659729003906 * X2))) + (((-0.446350514888763) * X1) ^ 2)))))
P3,32,1,1,1765.667136580351,789522.5126530589,(9.583939552307129 + (0.909963250160217 * ((35.458793640136719 * X1) - (((-0.188106611371040) * X26) - (((((((-0.016605431213975) * X1) - (0.183565154671669 * X2)) ^ 2) - ((-36.126480102539062) * X2)) ^ 2) - (((0.038932111114264 * X1) - ((-36.078613281250000) * X2)) ^ 2))))))
P3,32,2,2,509.17948454001726,310680.57083330676,(21.370370864868164 + (0.950038194656372 * ((((((((-1.080753684043884) * X1) - ((-1.622812390327454) * X2)) ^ 2) - (((-32.913463592529297) * X2) - (0.318309873342514 * X1))) + ((13.849073410034180 * X1) + (32.942214965820312 * X2))) * (((-0.192237854003906) * X2) ^ 2)) + ((78.331520080566406 * X1) * (((-0.163125514984131) * X1) ^ 2)))))
P3,32,3,3,2401.658094144453,1365072.1583100765,(6.727409362792969 + (0.991715848445892 * ((44.925746917724609 * X2) + (((((-91.647613525390625) * X2) + ((62.033168792724609 * X1) - (-290.383392333984375))) + (((-7.480984687805176) * X1) ^ 2)) * ((((-0.016352776437998) * X2) + (0.000141767377499 * X4)) + (0.031315628439188 * X1))))))
P3,32,4,4,2276.6260722553357,46696609.445340164,((-1.964712500572205) + (1.003044366836548 * (((((1.792934656143188 * X2) + (((((0.279764592647552 * X1) ^ 2) - (0.482890933752060 * X2)) + (0.253896355628967 * X1)) ^ 2)) ^ 2) - ((-25.610780715942383) * X2)) + (32.076633453369141 * X1))))
P3,64,0,0,3107.163605312278,1626307.541951635,((-0.488575816154480) + (1.000520586967468 * ((0.214827373623848 * X34) - ((((-18.763271331787109) * X2) + ((-38.459163665771484) * X1)) - (((((-1.688135981559753) * X2) + (0.693147182464600 * X1)) - ((0.517774045467377 * X2) ^ 2)) ^ 2)))))
P3,64,1,1,2416.005292238086,169327902.18033007,((-9.485387802124023) + (1.018841266632080 * ((((((0.329529762268066 * X2) ^ 2) + (((25.256290435791016 * X2) + (-2.118379116058350)) + (((-24.630317687988281) * X2) + ((-0.117000043392181) * X1)))) ^ 2) ^ 2) + ((37.870758056640625 * X2) + (31.232271194458008 * X1)))))
P3,64,2,2,2168.1057307619726,1501224.6743832866,((-2.837830066680908) + (1.008063435554504 * ((26.786424636840820 * X2) + (((((1.667333722114563 * X2) + ((((-0.536270439624786) * X2) ^ 2) - (0.877054572105408 * X1))) - ((((-0.022979862987995) * X2) - ((-0.527714848518372) * X1)) ^ 2)) ^ 2) - ((-31.083328247070312) * X1)))))
P3,64,3,3,480.62245913723996,50636.31939950446,(35.418872833251953 + (0.999264717102051 * ((((((34.127738952636719 * X1) + ((-5.546450614929199) * X2)) ^ 2) * (0.001735934522003 * X1)) + ((((5.023106098175049 * X1) + (45.934906005859375 * X2)) ^ 2) * (0.001188898109831 * X2))) + (((-0.100907862186432) * X1) * (29.850069046020508 * X2)))))
P3,64,4,4,4796.409512598358,1741971.7034125598,(23.212425231933594 + (1.531169533729553 * ((22.093242645263672 * X1) + ((22.093242645263672 * X2) + ((0.990705370903015 * X1) ^ 2)))))
