Frequency	Magnitude	Phase
0.3125	-80.72209	-93.74828
0.625	-74.9445	-114.6918
0.9375	-71.9655	-122.9029
1.25	-70.24436	-139.6116
1.5625	-69.34756	-109.9125
1.875	-67.40173	-128.9744
2.1875	-67.80574	-119.299
2.5	-65.27112	-133.9898
2.8125	-65.47415	-122.5634
3.125	-64.26917	-127.4244
3.4375	-64.33002	-127.8343
3.75	-63.07747	-128.1649
4.0625	-62.80037	-132.747
4.375	-63.41644	-133.2737
4.6875	-62.90319	-129.5177
5	-62.56718	-137.8162
5.3125	-62.35993	-131.7596
5.625	-61.99775	-134.8955
5.9375	-61.46567	-135.7983
6.25	-61.31604	-137.7995
6.5625	-61.21766	-138.0086
6.875	-62.09801	-137.2735
7.1875	-61.44231	-138.9569
7.5	-60.70171	-141.5109
7.8125	-61.78238	-148.1083
8.125	-61.36187	-144.3734
8.4375	-60.48505	-155.0188
8.75	-61.44587	-141.1285
9.0625	-59.59264	-161.3404
9.375	-61.58333	-154.2345
9.6875	-61.88134	-160.5392
10	-61.58101	-160.2086
10.3125	-60.52613	-159.2799
10.625	-62.40974	-171.767
10.9375	-60.9126	-166.9679
11.25	-61.02807	-170.4683
11.5625	-60.75978	177.7757
11.875	-62.10253	172.0827
12.1875	-61.82193	178.4056
12.5	-63.07087	178.0856
12.8125	-62.95208	169.1792
13.125	-61.16356	161.5014
13.4375	-60.83164	150.273
13.75	-59.39272	148.0537
14.0625	-59.10166	138.5765
14.375	-59.59903	132.3655
14.6875	-58.2891	128.509
15	-56.08383	122.8175
15.3125	-55.89218	112.1707
15.625	-54.50818	110.0161
15.9375	-52.52334	106.918
16.25	-50.77952	91.15262
16.5625	-49.74777	76.3614
16.875	-48.82063	66.05257
17.1875	-50.26224	33.37194
17.5	-55.44212	45.00241
17.8125	-52.93855	83.94631
18.125	-50.66498	85.62096
18.4375	-47.82491	91.18649
18.75	-45.84618	84.53139
19.0625	-43.90246	85.57408
19.375	-41.8416	81.93503
19.6875	-39.98464	81.33234
20	-37.63422	78.63672
20.3125	-35.56538	75.19065
20.625	-32.35784	69.41113
20.9375	-29.82142	64.76498
21.25	-24.76109	56.77172
21.5625	-20.45188	15.37139
21.875	-20.54034	-25.86225
22.1875	-22.32272	-53.46044
22.5	-24.33915	-71.72459
22.8125	-26.32199	-83.94471
23.125	-27.81864	-92.66487
23.4375	-29.1413	-96.6159
23.75	-30.26241	-102.3438
24.0625	-30.90567	-104.511
24.375	-31.60918	-107.0031
24.6875	-32.03168	-110.0269
25	-32.44653	-112.926
25.3125	-32.49202	-114.6602
25.625	-32.43242	-119.7769
25.9375	-32.4847	-125.2905
26.25	-32.6368	-131.1204
26.5625	-32.94388	-138.255
26.875	-33.45368	-145.9662
27.1875	-34.27071	-153.4758
27.5	-35.81691	-159.1696
27.8125	-37.56796	-162.7143
28.125	-39.06498	-156.8599
28.4375	-40.18089	-148.1374
28.75	-40.05671	-140.523
29.0625	-39.35057	-133.4505
29.375	-38.14164	-129.4922
29.6875	-36.95003	-131.9876
30	-35.16451	-136.2351
30.3125	-33.29501	-146.7061
30.625	-31.69379	-170.8601
30.9375	-33.20391	149.1647
31.25	-40.28441	124.8703
31.5625	-46.8033	154.6151
31.875	-45.021	-168.5804
32.1875	-42.27482	-178.3954
32.5	-44.1457	169.7092
32.8125	-45.79385	169.7765
33.125	-47.71723	174.5071
33.4375	-49.19308	-173.6073
33.75	-48.90269	-163.1381
34.0625	-48.93134	-158.1704
34.375	-48.9962	-150.316
34.6875	-48.81885	-146.0511
35	-48.69992	-142.1533
35.3125	-48.24463	-136.4478
35.625	-48.3091	-133.3766
35.9375	-47.43054	-131.8191
36.25	-47.40929	-130.4281
36.5625	-47.25902	-128.4402
36.875	-47.00886	-128.0771
37.1875	-46.61049	-126.0336
37.5	-46.85077	-124.9347
37.8125	-46.16787	-124.0484
38.125	-46.00414	-125.0336
38.4375	-46.03034	-124.5187
38.75	-45.98637	-124.9244
39.0625	-46.13276	-120.9807
39.375	-45.58817	-118.5919
39.6875	-46.00398	-119.6973
40	-45.47282	-114.2928
40.3125	-44.93962	-111.5395
40.625	-43.48906	-115.8941
40.9375	-43.98335	-126.6973
41.25	-44.30538	-123.58
41.5625	-44.93251	-120.816
41.875	-44.47764	-117.8197
42.1875	-43.80534	-114.5677
42.5	-43.55437	-120.5764
42.8125	-43.50682	-114.2678
43.125	-43.115	-122.6094
43.4375	-43.26412	-120.0376
43.75	-43.39339	-120.9865
44.0625	-42.85339	-121.9575
44.375	-43.04796	-123.4249
44.6875	-42.60678	-125.3941
45	-42.85713	-121.0976
45.3125	-42.7002	-127.9983
45.625	-44.09745	-132.5957
45.9375	-44.33901	-125.4603
46.25	-44.44968	-121.4638
46.5625	-44.74313	-121.2517
46.875	-44.2307	-116.105
47.1875	-43.7676	-115.8068
47.5	-43.69759	-114.734
