Frequency	Magnitude	Phase
0.3125	-82.25717	-56.43715
0.625	-77.03516	-75.57977
0.9375	-74.8182	-77.17113
1.25	-70.11947	-105.3322
1.5625	-70.1953	-105.7665
1.875	-70.12656	-111.3416
2.1875	-67.73017	-110.79
2.5	-66.93707	-106.6918
2.8125	-65.35284	-110.0549
3.125	-65.13673	-123.655
3.4375	-65.50979	-119.6343
3.75	-63.13161	-122.9894
4.0625	-65.42044	-122.093
4.375	-63.97274	-117.4739
4.6875	-63.29687	-111.4721
5	-63.00481	-116.9334
5.3125	-62.08101	-118.6546
5.625	-61.52087	-118.8746
5.9375	-60.83084	-124.1406
6.25	-61.77313	-131.6007
6.5625	-61.64825	-123.1955
6.875	-61.34906	-121.0812
7.1875	-61.05788	-125.7973
7.5	-60.13054	-134.705
7.8125	-61.09144	-135.2106
8.125	-60.58754	-132.309
8.4375	-60.46931	-132.9723
8.75	-60.74606	-140.1245
9.0625	-60.55029	-135.7848
9.375	-60.27206	-138.5523
9.6875	-61.0597	-146.3122
10	-61.33157	-140.59
10.3125	-59.95074	-145.2689
10.625	-62.43312	-149.7851
10.9375	-60.12463	-141.2315
11.25	-59.00627	-153.8922
11.5625	-59.44906	-151.2878
11.875	-59.77044	-166.03
12.1875	-61.28233	-177.8601
12.5	-61.4407	-160.8319
12.8125	-60.69798	-175.3577
13.125	-61.10246	175.1069
13.4375	-59.06064	-176.1823
13.75	-58.97248	162.6341
14.0625	-58.31396	157.8638
14.375	-57.01743	144.5189
14.6875	-58.45135	127.5374
15	-57.65977	135.4785
15.3125	-56.00363	127.113
15.625	-54.76604	118.4861
15.9375	-52.8334	114.0414
16.25	-50.89184	99.0526
16.5625	-49.54636	89.24794
16.875	-48.3546	69.43704
17.1875	-49.31923	39.74967
17.5	-55.35218	36.27135
17.8125	-56.43832	85.91184
18.125	-50.5908	103.1267
18.4375	-47.69849	99.20555
18.75	-45.45185	93.29175
19.0625	-43.70035	88.63795
19.375	-41.54506	84.83621
19.6875	-40.11879	80.94852
20	-38.17908	80.86749
20.3125	-36.00728	79.64637
20.625	-33.06206	79.29733
20.9375	-29.63593	71.74968
21.25	-26.21505	60.21256
21.5625	-21.88264	41.07095
21.875	-18.82762	4.989222
22.1875	-18.19686	-35.33078
22.5	-19.97862	-72.89826
22.8125	-23.9759	-95.94174
23.125	-27.17737	-97.12125
23.4375	-28.40631	-99.98594
23.75	-29.53127	-103.6101
24.0625	-30.59077	-107.3606
24.375	-31.38287	-108.5998
24.6875	-31.79811	-108.6606
25	-31.89635	-110.4032
25.3125	-31.90889	-113.0423
25.625	-31.82355	-117.9302
25.9375	-31.96542	-122.8581
26.25	-32.05127	-128.3574
26.5625	-32.30693	-136.7339
26.875	-32.68316	-144.9487
27.1875	-34.08851	-153.3106
27.5	-35.2082	-159.5861
27.8125	-37.13623	-161.4753
28.125	-38.78933	-155.5091
28.4375	-39.49154	-149.5206
28.75	-39.64049	-141.7175
29.0625	-39.30767	-134.0815
29.375	-38.24574	-131.8794
29.6875	-37.01757	-133.4772
30	-36.19562	-136.4775
30.3125	-34.69228	-142.1622
30.625	-32.77713	-160.4904
30.9375	-34.10349	164.7361
31.25	-39.71058	149.959
31.5625	-44.50499	176.5943
31.875	-41.89217	-160.3044
32.1875	-39.37142	-176.2544
32.5	-40.7905	164.8506
32.8125	-44.25608	159.6728
33.125	-46.15974	167.8012
33.4375	-47.9607	170.8208
33.75	-48.77224	-172.7213
34.0625	-48.57833	-164.2467
34.375	-50.61001	-163.0652
34.6875	-49.95376	-142.1512
35	-50.46665	-131.5369
35.3125	-48.60346	-122.5883
35.625	-47.64278	-129.3641
35.9375	-47.71894	-125.6257
36.25	-47.47188	-125.5361
36.5625	-47.25733	-125.085
36.875	-47.49596	-124.9166
37.1875	-47.38062	-116.8735
37.5	-46.65619	-113.3102
37.8125	-45.81404	-113.8317
