Frequency	Magnitude	Phase
0.3125	-70.97845	-162.1779
0.625	-67.8519	-151.0818
0.9375	-64.75539	-145.1182
1.25	-63.00381	-130.7853
1.5625	-62.49866	-127.2329
1.875	-62.255	-131.9904
2.1875	-60.56893	-137.0188
2.5	-59.87598	-135.4362
2.8125	-59.35088	-131.4804
3.125	-59.29601	-136.3953
3.4375	-58.58982	-138.9575
3.75	-57.39996	-145.2088
4.0625	-56.42496	-137.6971
4.375	-56.91314	-134.7049
4.6875	-57.68063	-136.452
5	-57.82334	-142.6511
5.3125	-56.85832	-150.0089
5.625	-55.22632	-147.0284
5.9375	-54.38185	-144.0783
6.25	-54.81073	-131.1288
6.5625	-56.66	-127.7333
6.875	-58.01982	-148.5762
7.1875	-55.4319	-159.9273
7.5	-54.19126	-155.5619
7.8125	-54.68001	-144.5809
8.125	-54.67708	-139.5803
8.4375	-55.74837	-136.8609
8.75	-58.96152	-139.2364
9.0625	-56.66549	-157.4858
9.375	-54.43747	-161.9706
9.6875	-54.19584	-152.1243
10	-54.78195	-141.2915
10.3125	-55.65691	-136.782
10.625	-57.89671	-141.335
10.9375	-58.74623	-160.6966
11.25	-56.41027	-166.336
11.5625	-56.01225	-158.8459
11.875	-58.82372	-162.9641
12.1875	-55.48029	-172.8116
12.5	-55.32039	-153.0527
12.8125	-55.28102	-113.9394
13.125	-58.70234	-170.4053
13.4375	-56.73291	148.6498
13.75	-55.62468	169.5892
14.0625	-54.75928	175.7
14.375	-52.21651	-159.8425
14.6875	-51.09269	-107.1246
15	-50.22332	28.93045
15.3125	-48.68057	90.79127
15.625	-47.01813	139.2616
15.9375	-47.83041	-173.2642
16.25	-48.74052	25.35104
16.5625	-50.20481	54.07424
16.875	-56.01621	44.16169
17.1875	-49.754	30.61869
17.5	-47.22471	70.90996
17.8125	-45.50614	109.1757
18.125	-45.16885	125.6682
18.4375	-44.63277	73.55099
18.75	-42.90041	67.8512
19.0625	-40.74886	69.95276
19.375	-37.91809	71.94126
19.6875	-35.76003	82.22007
