Frequency	Magnitude	Phase
0.3125	-83.20892	-70.80715
0.625	-74.34325	-100.2229
0.9375	-71.25896	-115.9719
1.25	-71.13786	-123.2759
1.5625	-69.2673	-103.5588
1.875	-69.04376	-122.2788
2.1875	-69.12631	-117.1047
2.5	-68.00574	-128.9255
2.8125	-67.45996	-126.3677
3.125	-65.16463	-127.5942
3.4375	-65.93781	-129.8734
3.75	-64.49142	-136.359
4.0625	-65.40343	-128.9543
4.375	-64.14201	-131.1998
4.6875	-63.73863	-132.2266
5	-62.70301	-139.8226
5.3125	-63.40504	-138.1487
5.625	-62.68878	-136.2134
5.9375	-63.19244	-144.1052
6.25	-62.50958	-138.0294
6.5625	-64.27774	-153.9585
6.875	-62.8719	-145.4691
7.1875	-62.74277	-140.9588
7.5	-62.63182	-148.9903
7.8125	-62.77081	-145.414
8.125	-62.11765	-144.3027
8.4375	-61.87048	-153.2391
8.75	-62.57696	-144.4942
9.0625	-63.7443	-160.2762
9.375	-62.4578	-148.6429
9.6875	-62.89198	-155.698
10	-62.41602	-160.1903
10.3125	-63.1773	-166.5168
10.625	-61.2821	-162.5517
10.9375	-61.88764	-166.9718
11.25	-64.72736	179.5278
11.5625	-62.75887	166.3718
11.875	-61.50962	177.6203
12.1875	-63.08435	169.0343
12.5	-61.90808	151.3296
12.8125	-62.19592	162.9616
13.125	-61.27863	154.9502
13.4375	-61.29861	141.6975
13.75	-60.76721	135.3786
14.0625	-58.85031	132.9297
14.375	-58.74387	130.9409
14.6875	-57.27934	118.8141
15	-54.90358	115.0031
15.3125	-54.36714	104.2678
15.625	-53.98896	103.9215
15.9375	-51.18609	92.58145
16.25	-49.91453	85.90896
16.5625	-49.03923	74.51469
16.875	-48.17656	59.03173
17.1875	-51.56991	37.34221
17.5	-53.98283	58.72976
17.8125	-52.39033	85.19164
18.125	-49.24017	89.97591
18.4375	-46.53309	85.65044
18.75	-44.8872	86.12942
19.0625	-42.87025	82.83252
19.375	-41.01624	82.44205
19.6875	-39.05511	78.7616
20	-37.15709	75.94058
20.3125	-34.68203	72.05988
20.625	-32.15325	68.392
20.9375	-28.94015	62.37487
21.25	-24.80371	51.4889
21.5625	-19.56805	25.09076
21.875	-18.78726	-42.39016
22.1875	-23.86127	-61.27676
22.5	-25.79044	-69.78558
22.8125	-26.81243	-78.33572
23.125	-28.03617	-85.41442
23.4375	-28.8646	-93.29929
23.75	-29.80673	-98.15459
24.0625	-30.59653	-103.3484
24.375	-31.18093	-106.2775
24.6875	-31.64309	-109.3389
25	-32.04732	-113.1496
25.3125	-32.08352	-115.4351
25.625	-32.13105	-120.5699
25.9375	-32.21744	-127.0005
26.25	-32.34121	-132.593
26.5625	-32.62964	-141.5844
26.875	-33.43484	-150.5527
27.1875	-34.94272	-157.3699
27.5	-36.50014	-164.185
27.8125	-38.77989	-163.9656
28.125	-40.46423	-155.4073
28.4375	-41.17079	-146.7209
28.75	-40.52548	-137.0992
29.0625	-40.00308	-130.0433
29.375	-38.61059	-127.7523
29.6875	-37.14589	-129.2068
30	-35.71914	-134.8245
30.3125	-33.95687	-145.9874
30.625	-32.49006	-169.4709
30.9375	-34.23433	151.6942
31.25	-41.41602	128.3737
31.5625	-47.87304	-176.5403
31.875	-43.47212	-160.0486
32.1875	-41.53294	-175.4557
32.5	-43.02954	167.6555
32.8125	-45.63486	166.9965
33.125	-47.97149	174.1018
33.4375	-48.7183	179.5918
33.75	-50.52219	-169.2117
34.0625	-50.45679	-158.9951
34.375	-49.93798	-150.6052
34.6875	-49.57227	-149.2877
35	-49.50993	-135.6942
35.3125	-49.36567	-134.6894
35.625	-47.81097	-131.2941
35.9375	-48.56882	-128.7313
36.25	-47.9857	-127.6179
