Frequency	Magnitude	Phase
0.3125	-78.75327	-29.21991
0.625	-73.92156	-65.62775
0.9375	-70.99809	-77.39118
1.25	-70.49739	-89.51886
1.5625	-69.22665	-99.47649
1.875	-66.85211	-100.8487
2.1875	-65.27296	-104.4403
2.5	-65.40966	-104.9651
2.8125	-64.17506	-114.3632
3.125	-62.7964	-111.0713
3.4375	-62.7042	-117.5634
3.75	-62.2667	-116.3816
4.0625	-62.09785	-122.252
4.375	-61.94291	-127.2452
4.6875	-62.49794	-127.2331
5	-60.7667	-130.39
5.3125	-61.24532	-124.7469
5.625	-61.00179	-128.4763
5.9375	-61.09251	-135.5433
6.25	-59.69062	-133.306
6.5625	-59.75302	-131.8246
6.875	-60.0874	-133.5838
7.1875	-59.6846	-142.0797
7.5	-59.53101	-142.4941
7.8125	-60.3023	-142.4695
8.125	-59.26607	-137.6129
8.4375	-58.76859	-141.2298
8.75	-59.7858	-139.9937
9.0625	-59.01777	-152.7523
9.375	-59.41552	-152.5939
9.6875	-59.36908	-151.5732
10	-59.46646	-158.2547
10.3125	-59.17466	-154.6934
10.625	-60.37176	-163.1255
10.9375	-59.20931	-159.0875
11.25	-59.28142	-171.4357
11.5625	-59.17387	-176.7848
11.875	-58.50373	-176.4152
12.1875	-59.2469	178.2684
12.5	-60.51225	164.179
12.8125	-59.81502	-174.3563
13.125	-58.57409	172.3633
13.4375	-59.18354	158.1052
13.75	-58.96307	158.3097
14.0625	-58.53911	153.644
14.375	-57.04195	143.3732
14.6875	-56.79337	135.0674
15	-56.34835	127.1092
15.3125	-55.09466	124.7132
15.625	-54.25141	117.2202
15.9375	-52.79198	105.1313
16.25	-51.42196	90.71733
16.5625	-50.89991	76.87704
16.875	-53.67579	60.99364
17.1875	-56.35909	81.68254
17.5	-52.03974	97.82584
17.8125	-50.23023	97.97012
18.125	-47.92551	94.64194
18.4375	-46.34251	93.1404
18.75	-44.56497	89.37073
19.0625	-42.63374	87.00417
19.375	-40.90898	84.08607
19.6875	-38.82847	80.71123
20	-36.89113	79.03776
20.3125	-34.67203	76.13024
20.625	-32.13654	71.97955
20.9375	-29.28553	68.45301
21.25	-25.72405	62.20299
21.5625	-20.87366	49.2574
21.875	-13.54364	2.577608
22.1875	-17.26569	-56.88228
22.5	-20.54615	-82.01976
22.8125	-23.60241	-94.99313
23.125	-25.88013	-101.767
23.4375	-27.42744	-104.3881
23.75	-28.67387	-108.6045
24.0625	-29.6217	-111.2342
24.375	-30.52315	-113.2848
24.6875	-30.99241	-114.4954
25	-31.32965	-115.6328
25.3125	-31.42103	-118.1702
25.625	-31.42981	-121.9111
25.9375	-31.52121	-126.2509
26.25	-31.59857	-131.6879
26.5625	-31.94755	-138.4828
26.875	-32.59225	-146.9857
27.1875	-33.49765	-154.1671
27.5	-35.53329	-158.0685
27.8125	-37.59399	-156.3748
28.125	-38.61734	-147.5529
28.4375	-38.98682	-135.4221
28.75	-38.32641	-128.8241
29.0625	-37.22742	-125.1048
29.375	-36.19273	-123.575
29.6875	-35.13237	-124.2037
30	-33.82008	-127.1863
30.3125	-32.15339	-133.9612
30.625	-30.58574	-147.0225
30.9375	-28.97105	-174.5149
31.25	-33.17271	144.9064
31.5625	-42.52913	150.4998
31.875	-39.48249	-156.9625
32.1875	-36.45259	-169.9895
32.5	-36.04484	168.9892
32.8125	-38.36242	150.1068
33.125	-41.86124	144.8488
33.4375	-44.59093	152.1732
33.75	-46.6164	161.4054
34.0625	-48.8932	171.1367
34.375	-48.36163	-169.9271
34.6875	-49.35882	-157.584
35	-49.40506	-152.2278
35.3125	-48.12237	-145.2064
35.625	-47.94144	-138.6788
35.9375	-47.64099	-134.2033
36.25	-47.40516	-134.7218
36.5625	-47.0375	-131.4524
36.875	-47.10919	-132.4808
37.1875	-46.38242	-130.3362
37.5	-45.77771	-125.6629
37.8125	-46.33997	-124.4825
38.125	-45.67058	-123.2909
38.4375	-45.26172	-122.3493
38.75	-45.53858	-122.233
39.0625	-45.19447	-118.8725
39.375	-44.88676	-116.6131
39.6875	-45.00755	-116.2438
40	-44.43165	-109.996
40.3125	-43.63371	-112.8835
40.625	-41.49798	-112.4468
40.9375	-44.00845	-133.0055
41.25	-43.98132	-123.0229
41.5625	-43.84358	-119.7191
41.875	-43.5876	-115.5394
42.1875	-43.53109	-117.5452
42.5	-43.58659	-117.0507
42.8125	-43.20556	-115.5028
43.125	-43.05457	-117.1916
43.4375	-42.41644	-112.7354
43.75	-42.74754	-115.4785
44.0625	-41.81383	-118.9536
44.375	-41.95584	-120.4461
44.6875	-41.84471	-121.8857
45	-41.97454	-122.1067
45.3125	-42.4649	-124.7517
45.625	-42.41769	-124.2969
45.9375	-42.84216	-124.3667
46.25	-42.95824	-123.4767
46.5625	-42.9858	-117.8354
46.875	-43.16365	-117.2444
47.1875	-42.71469	-112.5512
47.5	-42.54887	-112.8346
47.8125	-42.56549	-112.1277
48.125	-42.16273	-109.2031
48.4375	-41.96163	-110.5811
48.75	-41.73517	-110.8838
49.0625	-41.56413	-108.769
49.375	-41.57006	-109.7925
49.6875	-41.5235	-108.8075
50	-41.39095	-110.7544
50.3125	-40.8968	-109.7833
50.625	-40.91242	-109.3964
50.9375	-40.65078	-112.0051
51.25	-40.79918	-109.9026
51.5625	-40.38586	-110.4895
51.875	-40.35372	-108.9393
52.1875	-40.58875	-108.5844
52.5	-40.58347	-108.4879
52.8125	-39.84383	-108.5881
53.125	-39.82452	-107.7097
53.4375	-39.43214	-108.1407
53.75	-39.15417	-106.4809
