Expression,d,run,seed,train_mse,test_mse,run_time_s,expr
P3,8,0,0,9.391132584186877,3893.7994808675357,7.195715039968491,(2.090806 + (5.598527 * (((((((-0.359198) * X1) ^ 2) * (1.442695 * X1)) + (((((-0.359198) * X1) ^ 2) - (((0.403323 * ((-0.359198) * X1)) + (((-0.575599) * X2) ^ 2)) + ((-0.558984) * X1))) * ((-0.774444) * X2))) + (((-0.558984) * X1) ^ 2)) + (((0.642865 * X2) ^ 2) - (((((((-0.553028) * X2) - (0.318310 * X1)) * ((0.318310 * X1) ^ 2)) * (-0.321089)) - (((((-0.359198) * X1) ^ 2) * (1.442695 * X1)) + (((-0.553028) * X2) * (-0.321089)))) + ((((-0.575599) * X2) ^ 2) * (((-0.553028) * X2) - (0.318310 * X1))))))))
P3,8,1,1,15.0622369947948,3864.3504820869603,7.013008955866098,(21.650024 + ((-8.087525) * (((((-0.867972) * X2) ^ 2) * ((-0.390132) * X2)) + (((((((((-1.059359) * X1) - ((-1.026289) * X2)) - ((-0.589705) * X1)) - (((3.141593 * X1) - (0.318310 * X2)) * ((-0.390132) * X2))) - (((((-2.908167) * X2) + 2.718282) - (((-0.390132) * X2) - (2.565555 * X1))) + ((0.318310 * X2) ^ 2))) * 0.153908) * ((0.446712 * X1) + ((-0.229533) * X2))) + (((((-0.545085) * X2) + 2.718282) - ((0.318310 * X2) ^ 2)) - (((0.318310 * X2) ^ 2) - ((((-0.227223) * X1) * ((-1.059359) * X1)) * ((-1.031779) * X1))))))))
P3,8,2,2,70.35275212807873,5136.334461418343,6.863600691780448,((-2.170654) + (37.335323 * ((-0.277533) * (((((((-0.712853) * X1) + 0.962361) + ((-0.650235) * X1)) * ((0.201380 * X2) ^ 2)) + ((((((-0.962655) - ((-0.238473) * X2)) - (0.988142 * X1)) * (((0.891975 ^ 2) * (0.535957 * X1)) ^ 2)) + ((-2.555571) * X1)) - ((((-0.095430) ^ 2) - (0.988142 * X1)) + ((((-0.962655) - ((-1.407137) * X1)) - (((-0.968444) * X2) ^ 2)) * ((-0.462393) + ((-0.238473) * X2)))))) + (((0.706273 * X1) * 0.992331) + (((-0.429642) * X2) ^ 2))))))
P3,8,3,3,3.4246221089774975,664.9541454927039,7.228790558874607,(2.093343 + ((-3.199032) * (((((((0.656358 * X1) ^ 2) * ((((-0.811407) * X1) + (0.458925 * X2)) + ((-0.574705) * X1))) - ((((0.130488 * X2) - 0.612691) * (((-1.107465) * X2) * ((-1.245767) * X1))) + (((-0.884884) * X2) ^ 2))) - (((-0.811407) * X1) + ((-0.574705) * X1))) + (((-0.811407) * X1) + ((-0.574705) * X1))) + ((((-0.595173) * X1) + ((-0.388682) * X2)) - ((((0.151793 * X2) * ((2.239253 * X2) ^ 2)) + (0.049884 * (((0.130488 * X2) - 0.707107) * (((-1.107465) * X2) * ((-1.245767) * X1))))) + ((0.693147 * X1) ^ 2))))))
P3,8,4,4,18.453037860895666,1633.5040634549741,7.035043174400926,(6.345663 + (1.184919 * (((((((1.786011 * X2) ^ 2) * (0.693147 * X2)) + (((((-0.288127) * X1) ^ 2) ^ 2) + ((0.192967 * X2) * (((-0.884706) * X2) ^ 2)))) + (((((-0.884706) * X2) ^ 2) - (((1.071730 - ((-0.288127) * X1)) - (((-0.939846) * X1) + (0.192967 * X2))) + ((((-0.939846) * X1) + (0.192967 * X2)) * ((1.337470 * X1) ^ 2)))) - (((-0.619256) * X1) - ((-0.939846) * X1)))) - (((1.055217 * X1) + ((((-0.641862) * X1) - (0.126609 - (0.820857 * X2))) ^ 2)) * ((0.434294 * X2) - 1.960419))) + (0.907408 * X2))))
P3,16,0,0,36.755688182709214,527323.0376394632,7.183452736586332,(5.503301 + (5.749718 * ((0.036912 * (((((0.693147 * X2) ^ 2) * (1.225129 * X2)) + (((-0.787361) * X1) ^ 2)) - (((1.414214 * X2) ^ 2) - (((((0.693147 * X2) ^ 2) + (2.513142 * X1)) ^ 2) - (((((-0.787361) * X1) ^ 2) ^ 2) * (0.326759 * X2)))))) + ((((-1.560771) * X1) * (0.318310 * X2)) + (((((-0.567577) * X2) ^ 2) + ((((-0.567577) * X2) ^ 2) * (1.225129 * X2))) - ((((-0.787361) * X1) ^ 2) * ((-0.583032) * X1)))))))
P3,16,1,1,15.097931353869914,4615.191966331159,6.656623885035515,(3.603457 + (7.971254 * (((((-0.054787) * X1) * ((((((-2.010058) * X2) + ((-2.706630) * X1)) + ((0.434294 * X1) - ((0.662083 * X2) ^ 2))) - ((0.814062 * X1) ^ 2)) - ((0.663917 * X1) - 0.538004))) + ((0.662083 * X2) ^ 2)) - ((((0.662083 * X2) ^ 2) * ((-0.054787) * X1)) - (((0.250687 * X1) - (((((-1.934646) * X1) ^ 2) - (-0.207585)) * ((-0.054787) * X1))) + (((((((-1.079795) * X1) * 0.318310) ^ 2) + ((0.663917 * X1) - 0.318310)) - ((0.662083 * X2) ^ 2)) * (0.318310 + ((-0.694295) * X2))))))))
P3,16,2,2,22.989400082963844,6011.7679055263125,7.210841009393334,(0.753565 + (2.370717 * (((((0.768873 * X1) ^ 2) - (1.269363 * X2)) * ((1.263882 * X1) + 0.058603)) + ((((2.871250 * X1) - (((1.092235 * X2) ^ 2) * ((-0.696025) - (0.707107 * X2)))) - (((((0.768873 * X1) ^ 2) - (0.540482 * X2)) * ((-0.696025) - (0.350008 * X2))) - (((-1.353853) * X1) + (0.350008 * X2)))) + ((((0.768873 * X1) ^ 2) - (((((-1.102473) * X1) - (0.540482 * X2)) * ((-0.696025) - (0.350008 * X2))) * (((1.263882 * X1) + 0.058603) + ((-1.287052) * X2)))) + ((0.768873 * X1) ^ 2))))))
P3,16,3,3,14.037666017618417,1628.18249769408,6.947579560801387,(7.312547 + (3.840399 * (((((-0.568447) * X1) ^ 2) - (((((2.302585 * X2) + ((-1.492684) * X1)) * ((-0.302956) * X2)) + ((((-0.820715) * X2) ^ 2) * (((-0.820715) * X2) - (0.566704 * X1)))) - ((((0.434294 * X2) - (0.474916 * X1)) * ((-0.302956) * X2)) * (0.605796 + (0.258974 * X1))))) + (((-0.445049) - (((-0.302956) * X2) - (0.566704 * X1))) - (((-1.214286) * (((((-0.477796) * X1) ^ 2) - ((0.318310 * X2) ^ 2)) * (((-0.820715) * X2) - ((-1.818388) * X1)))) + (((-1.163627) * X1) * ((-0.302956) * X2)))))))
P3,16,4,4,141.94012163148312,67096.65888156545,6.875737968832254,(10.337676 + (9.574987 * ((((0.172583 * X1) * (((1.058962 * X1) ^ 2) + (((-1.853553) * X2) + (((-2.176286) * X2) * (0.172583 * X1))))) + ((((((-0.257768) * X2) ^ 2) - (((-1.419461) * X2) * ((0.241400 * X2) ^ 2))) - (((((-1.419461) * X2) * (((-0.257768) * X2) ^ 2)) - ((0.241400 * X2) ^ 2)) - (0.434294 * X1))) - (0.803506 * (((((-1.815322) * X2) * ((0.241400 * X2) ^ 2)) - (0.434294 * X1)) - (((0.241400 * X2) ^ 2) + ((((-0.442046) * X1) ^ 2) + ((0.327989 * X2) ^ 2))))))) - 0.803506)))
