Frequency	Magnitude	Phase
0.3125	-66.53871	-115.5661
0.625	-72.70805	-27.76201
0.9375	-69.56674	-77.87025
1.25	-66.66441	-99.53781
1.5625	-68.72176	-108.0098
1.875	-62.27717	-123.5151
2.1875	-67.13522	-107.4629
2.5	-64.07685	-119.499
2.8125	-58.24127	-94.22041
3.125	-61.87843	-125.4788
3.4375	-64.19699	-155.024
3.75	-65.36092	-118.9418
4.0625	-64.51068	-135.99
4.375	-61.4406	-108.2495
4.6875	-56.94539	-134.5563
5	-56.87873	-152.5218
5.3125	-63.23353	-152.838
5.625	-60.22862	-110.7751
5.9375	-61.09299	-148.3531
6.25	-62.47508	-133.4527
6.5625	-61.94243	-122.6244
6.875	-61.90676	-132.3695
7.1875	-58.14145	-148.4284
7.5	-60.85824	-146.6066
7.8125	-58.72498	-127.9631
8.125	-56.68071	-161.7372
8.4375	-62.53495	-118.1311
8.75	-61.74182	-155.9692
9.0625	-58.48433	-157.7659
9.375	-55.51118	-156.6984
9.6875	-57.6456	-140.0019
10	-58.42694	-149.1141
10.3125	-57.89329	-166.969
10.625	-63.79877	-148.6264
10.9375	-58.61095	-165.8754
11.25	-59.69342	175.6348
11.5625	-60.46147	170.6817
11.875	-64.53999	-174.3902
12.1875	-61.23083	-179.877
12.5	-63.74235	173.8244
12.8125	-59.20603	-175.3758
13.125	-59.65501	-176.3394
13.4375	-57.76239	159.124
13.75	-58.98627	165.7037
14.0625	-58.59598	129.6926
14.375	-59.05462	126.5396
14.6875	-57.74464	138.3842
15	-54.44139	139.6668
15.3125	-53.54423	110.9278
15.625	-54.55705	104.0436
15.9375	-55.18214	95.26922
16.25	-53.9011	84.54311
16.5625	-53.41933	66.53456
16.875	-50.86862	47.11173
17.1875	-54.88691	78.49944
17.5	-54.62202	94.93291
17.8125	-51.37671	100.4465
18.125	-48.2287	92.95878
18.4375	-46.2044	91.97205
18.75	-44.50262	85.75078
19.0625	-43.9167	80.38594
19.375	-40.94566	80.59325
19.6875	-39.1338	80.23257
20	-37.58018	77.209
20.3125	-35.13404	71.04927
20.625	-32.34994	70.66158
20.9375	-29.5872	64.02818
21.25	-25.40004	54.49981
21.5625	-20.22267	38.12291
21.875	-14.5105	-11.41734
22.1875	-18.28785	-82.58918
22.5	-23.63281	-96.61583
22.8125	-26.88146	-100.0485
23.125	-28.29424	-104.4218
23.4375	-29.39517	-108.696
23.75	-31.04852	-108.607
24.0625	-32.03823	-112.9682
24.375	-32.24571	-113.493
24.6875	-32.90384	-113.0634
25	-33.70985	-114.1526
25.3125	-33.21866	-117.8859
25.625	-32.86507	-119.6579
25.9375	-33.89517	-123.2677
26.25	-33.73395	-134.7673
26.5625	-33.40747	-135.3266
26.875	-34.7324	-140.2978
27.1875	-35.67352	-152.4758
27.5	-36.43046	-157.1699
27.8125	-38.74078	-150.9017
28.125	-41.0824	-142.0669
28.4375	-41.53616	-137.8679
28.75	-39.65901	-126.1311
29.0625	-38.74516	-117.4089
29.375	-37.83799	-120.2767
29.6875	-36.99603	-125.084
30	-34.97186	-128.4437
30.3125	-33.96217	-135.5363
30.625	-31.86306	-156.1112
30.9375	-31.85409	159.6022
31.25	-37.82673	142.2903
31.5625	-44.31739	142.9999
31.875	-45.24275	-149.3831
32.1875	-40.6647	-161.8158
32.5	-40.92653	169.1799
32.8125	-44.8692	151.9668
33.125	-47.93204	165.7847
33.4375	-51.00506	175.7748
33.75	-50.10644	-161.4201
34.0625	-52.23133	-137.257
34.375	-50.01788	-136.5733
34.6875	-48.73114	-123.1945
35	-50.58552	-129.8983
35.3125	-48.2649	-116.296
35.625	-47.19973	-121.2474
35.9375	-47.27654	-120.7558
36.25	-47.00714	-106.8736
36.5625	-46.42722	-124.4657
36.875	-47.10453	-114.7383
37.1875	-46.68625	-116.3293
37.5	-45.25967	-118.1701
37.8125	-45.34258	-111.6569
38.125	-45.61047	-113.2558
38.4375	-45.54735	-105.3483
38.75	-46.52044	-111.734
39.0625	-44.99216	-108.5995
39.375	-45.75668	-109.3405
39.6875	-44.62956	-99.01769
40	-45.02943	-103.7383
40.3125	-43.37526	-99.14625
40.625	-42.49134	-96.9228
40.9375	-43.65855	-124.8021
41.25	-45.09296	-112.2263
41.5625	-43.18828	-115.1011
41.875	-44.93091	-111.101
42.1875	-44.0247	-102.4858
42.5	-43.51186	-112.3849
42.8125	-44.249	-107.5556
43.125	-42.7844	-108.7439
43.4375	-43.10859	-106.256
43.75	-41.62561	-107.6841
44.0625	-43.1755	-112.9743
44.375	-41.83306	-116.0818
44.6875	-43.16641	-111.1974
45	-42.8662	-110.5353
45.3125	-43.04506	-115.5747
45.625	-43.32231	-122.4893
45.9375	-43.30313	-114.9606
46.25	-43.77962	-116.2615
46.5625	-43.80394	-113.9152
46.875	-43.31911	-104.9996
47.1875	-44.53938	-108.286
47.5	-43.65354	-109.2456
47.8125	-42.87561	-113.969
48.125	-42.66216	-102.7008
48.4375	-42.81208	-104.466
48.75	-41.30856	-105.6712
49.0625	-41.96171	-105.7582
49.375	-41.47249	-99.77643
49.6875	-41.68037	-105.0676
50	-40.82372	-100.807
50.3125	-41.02924	-100.7655
50.625	-40.86	-103.115
50.9375	-40.88016	-103.3616
51.25	-39.88667	-104.3009
51.5625	-41.03083	-105.847
51.875	-40.51384	-94.43661
52.1875	-40.88259	-102.1206
52.5	-40.43291	-105.0091
52.8125	-39.54893	-102.3283
53.125	-39.95124	-105.5944
53.4375	-40.32772	-106.2482
53.75	-39.91983	-105.9919
54.0625	-40.45047	-103.828
54.375	-38.60892	-102.9154
54.6875	-39.2337	-99.08812
55	-39.28403	-106.3926
55.3125	-38.9171	-105.3335
55.625	-38.49603	-102.4516
55.9375	-38.76013	-101.5863
56.25	-38.63643	-107.5083
56.5625	-37.87643	-99.9652
56.875	-39.02479	-105.7643
57.1875	-37.43217	-102.2947
57.5	-39.00364	-105.7333
57.8125	-37.76982	-105.6153
58.125	-37.98745	-103.9868
58.4375	-37.98405	-105.8203
58.75	-37.02957	-104.2344
59.0625	-36.75123	-104.3782
59.375	-36.66493	-103.927
59.6875	-37.10945	-107.1732
60	-36.85942	-109.0955
60.3125	-36.86994	-106.1346
60.625	-36.18477	-103.6677
60.9375	-36.85688	-105.4336
