Source File Name:	Analyzer
Signal:	FFT - Vib Acceleration - Mag. [dB] & Phase
dB-Reference:	0 dB = 1 m/s²
Frequency	Magnitude	Phase
[ Hz ]	[ dB ]	[ ° ]
60.625	-37.62302	-101.9616
60.9375	-37.52753	-102.183
61.25	-37.42257	-101.485
61.5625	-37.47911	-102.8615
61.875	-37.26998	-101.3401
62.1875	-37.33946	-99.86784
62.5	-36.99611	-100.8156
62.8125	-36.57542	-100.3863
63.125	-36.7658	-99.37432
63.4375	-36.61009	-98.79527
63.75	-36.4941	-100.2506
64.0625	-36.24062	-102.1925
64.375	-36.37559	-101.6971
64.6875	-36.08134	-103.0071
65	-36.14954	-105.7216
65.3125	-36.0652	-103.0749
65.625	-36.07969	-102.0957
65.9375	-35.89734	-102.1643
66.25	-35.66269	-99.27988
66.5625	-35.36786	-99.33849
66.875	-35.56417	-98.57314
67.1875	-35.16728	-100.9394
67.5	-35.00069	-97.59657
67.8125	-34.75005	-98.34218
68.125	-34.53331	-97.80323
68.4375	-34.45887	-98.1666
68.75	-34.23782	-98.67703
69.0625	-33.99648	-98.44964
69.375	-33.78012	-98.85854
69.6875	-33.47041	-100.2173
70	-33.39814	-99.73973
70.3125	-33.40977	-101.9592
70.625	-33.3781	-100.9245
70.9375	-33.40642	-101.3248
71.25	-33.00122	-101.5592
71.5625	-32.70388	-100.3499
71.875	-32.6542	-100.1763
72.1875	-32.6688	-99.91563
72.5	-32.30863	-98.96086
72.8125	-32.1862	-100.008
73.125	-31.97667	-100.8469
73.4375	-31.75056	-101.454
73.75	-31.68608	-101.7094
74.0625	-31.44221	-101.038
74.375	-31.27606	-100.9574
74.6875	-30.9497	-101.9835
75	-30.68915	-102.6103
75.3125	-30.58731	-102.019
75.625	-30.2423	-102.1404
75.9375	-30.04614	-103.4657
76.25	-29.96381	-103.1506
76.5625	-29.69932	-104.5155
76.875	-29.39697	-105
77.1875	-29.21955	-105.9429
77.5	-28.97455	-105.9678
77.8125	-28.65841	-107.769
78.125	-28.4225	-108.7339
78.4375	-28.27934	-108.744
78.75	-27.9803	-110.2113
79.0625	-27.72922	-111.8537
79.375	-27.51106	-112.4306
79.6875	-27.15099	-114.1201
80	-26.8988	-115.1706
80.3125	-26.48313	-116.9534
80.625	-26.40615	-119.0179
80.9375	-26.14096	-121.1239
81.25	-25.92264	-123.1038
81.5625	-25.61882	-125.5619
81.875	-25.4413	-128.0217
82.1875	-25.39334	-129.731
82.5	-25.11094	-132.8436
82.8125	-24.96204	-135.4345
83.125	-24.89928	-138.4506
83.4375	-24.78985	-142.4265
83.75	-24.81308	-144.6566
84.0625	-24.74974	-147.4055
84.375	-24.72308	-150.6595
84.6875	-24.70435	-153.361
85	-24.66455	-156.4443
85.3125	-24.56192	-160.8771
85.625	-24.64315	-165.1589
85.9375	-24.70173	-170.0944
86.25	-24.95376	-175.2313
86.5625	-25.5411	179.0209
86.875	-26.08265	173.409
87.1875	-26.92551	168.5613
87.5	-28.21525	163.8325
87.8125	-29.42852	162.0265
88.125	-30.84065	160.8602
88.4375	-32.03772	163.9855
