Frequency	Magnitude	Phase
0.3125	-77.43289	-165.3685
0.625	-73.21418	-122.2918
0.9375	-70.17216	-114.5166
1.25	-67.92552	-126.2759
1.5625	-66.03697	-125.0853
1.875	-65.53313	-125.1665
2.1875	-63.64365	-126.6163
2.5	-63.40701	-124.5797
2.8125	-62.41869	-125.5215
3.125	-62.20443	-128.576
3.4375	-60.93718	-122.8122
3.75	-60.5943	-126.9345
4.0625	-60.89247	-125.1654
4.375	-60.4111	-123.0516
4.6875	-59.89887	-120.9242
5	-59.76817	-124.4473
5.3125	-59.13666	-128.1586
5.625	-58.98653	-124.9224
5.9375	-58.58353	-128.2323
6.25	-58.49109	-126.3531
6.5625	-58.10726	-123.476
6.875	-58.66482	-126.5691
7.1875	-57.49815	-132.2787
7.5	-57.40364	-127.441
7.8125	-58.25868	-129.4391
8.125	-57.77929	-128.1517
8.4375	-57.65471	-130.1292
8.75	-57.09557	-129.8978
9.0625	-57.49632	-131.3857
9.375	-56.97198	-136.977
9.6875	-57.51793	-134.1241
10	-56.97483	-131.9814
10.3125	-57.03927	-136.2762
10.625	-57.39379	-136.5196
10.9375	-57.33469	-142.6977
11.25	-57.49965	-139.6571
11.5625	-56.59947	-143.6889
11.875	-57.37645	-144.2076
12.1875	-58.29266	-152.0645
12.5	-58.5071	-152.9974
12.8125	-57.45554	-151.0555
13.125	-58.05175	-163.4343
13.4375	-57.55093	-161.1058
13.75	-58.28806	-169.209
14.0625	-57.05967	-179.4675
14.375	-57.3588	176.0269
14.6875	-59.19796	175.3755
15	-57.57925	159.1876
15.3125	-56.58353	152.4991
15.625	-56.24751	136.5468
15.9375	-54.64619	126.4241
16.25	-54.16851	107.4399
16.5625	-52.42537	88.6558
16.875	-53.35421	61.1011
17.1875	-61.69365	60.12616
17.5	-57.72984	104.2776
17.8125	-54.45107	112.0654
18.125	-51.07605	108.6659
18.4375	-49.05013	103.2333
18.75	-46.46224	101.0739
19.0625	-44.56181	95.8429
19.375	-42.69609	90.81499
19.6875	-40.44943	88.89748
20	-38.25681	85.41265
20.3125	-35.98652	81.78917
20.625	-33.1372	79.08047
20.9375	-29.90613	73.28977
21.25	-25.92535	64.57434
21.5625	-20.30682	46.40967
21.875	-13.61709	-8.571271
22.1875	-19.3211	-85.13309
22.5	-24.52423	-94.08912
22.8125	-27.30639	-97.01737
23.125	-28.82303	-100.4901
23.4375	-30.2107	-102.4042
23.75	-31.21776	-104.4144
24.0625	-31.71988	-105.4593
24.375	-32.29454	-108.9353
24.6875	-32.48135	-110.7023
25	-32.62724	-113.3837
25.3125	-32.79741	-116.4796
25.625	-32.90611	-120.4765
25.9375	-32.93445	-125.3386
26.25	-33.00309	-129.5525
26.5625	-32.67621	-139.086
26.875	-33.83435	-143.5782
27.1875	-34.83018	-148.4999
27.5	-35.78883	-152.4204
27.8125	-36.89281	-153.2318
28.125	-37.70677	-152.6097
28.4375	-38.44035	-149.692
28.75	-38.60752	-144.8474
29.0625	-38.62506	-140.6795
29.375	-37.863	-137.2869
29.6875	-36.79125	-136.3683
30	-35.22956	-142.2982
30.3125	-33.91738	-152.9109
