Frequency	Magnitude	Phase
0.3125	-85.58827	-81.59219
0.625	-77.70046	-117.674
0.9375	-76.00342	-128.0559
1.25	-74.05928	-109.4325
1.5625	-74.9565	-121.1928
1.875	-69.86558	-122.1157
2.1875	-69.19866	-119.0335
2.5	-69.81709	-122.3404
2.8125	-68.60255	-137.3501
3.125	-69.871	-119.5069
3.4375	-69.05272	-127.6763
3.75	-67.65755	-129.8901
4.0625	-67.68643	-132.4932
4.375	-66.93649	-128.3404
4.6875	-67.94525	-145.8076
5	-66.19383	-147.7979
5.3125	-66.44701	-140.7296
5.625	-65.43895	-142.5788
5.9375	-66.36628	-146.7737
6.25	-66.69751	-141.3523
6.5625	-65.35468	-149.6245
6.875	-66.52363	-150.4498
7.1875	-66.32619	-145.5199
7.5	-65.99199	-155.0099
7.8125	-66.05235	-157.9628
8.125	-64.30095	-162.2722
8.4375	-66.07647	-167.4949
8.75	-69.17349	-157.0799
9.0625	-66.25891	-162.8677
9.375	-66.10545	-166.9856
9.6875	-65.78525	-175.0758
10	-67.49531	-177.4628
10.3125	-66.59164	168.3686
10.625	-66.28465	-171.9939
10.9375	-65.21072	159.5018
11.25	-65.54355	148.1681
11.5625	-64.21851	151.2535
11.875	-65.36714	159.5642
12.1875	-62.52803	139.9454
12.5	-69.15392	116.5076
12.8125	-63.82573	152.8567
13.125	-61.48777	122.5029
13.4375	-60.81668	127.8361
13.75	-60.67976	109.3889
14.0625	-58.98296	124.7558
14.375	-58.12392	112.3464
14.6875	-57.72635	107.6616
15	-55.9582	109.7029
15.3125	-54.70517	102.2095
15.625	-53.78846	97.65347
15.9375	-51.62378	93.23737
16.25	-50.52325	86.90488
16.5625	-48.68458	73.67966
16.875	-47.58578	55.88246
17.1875	-50.13662	32.53814
17.5	-54.08007	53.35022
17.8125	-52.9543	75.71017
18.125	-49.59757	84.96901
18.4375	-47.78172	84.34035
18.75	-45.18152	84.98756
19.0625	-43.57392	82.97881
19.375	-41.70535	81.62757
19.6875	-39.36161	77.41708
20	-37.17894	76.76444
20.3125	-34.85739	74.63882
20.625	-32.08967	68.16702
20.9375	-28.89297	61.67331
21.25	-23.71428	51.95175
21.5625	-20.0271	4.56104
21.875	-21.1523	-35.43549
22.1875	-23.14842	-60.63378
22.5	-25.47647	-78.62241
22.8125	-27.46627	-87.47126
23.125	-28.98306	-95.41168
23.4375	-30.3407	-100.1788
23.75	-31.4237	-101.104
24.0625	-31.80257	-104.468
24.375	-32.35402	-108.8158
24.6875	-32.70715	-109.8037
25	-33.02191	-113.0448
25.3125	-32.97741	-116.3647
25.625	-32.93851	-121.2729
25.9375	-33.1503	-125.9274
26.25	-32.85151	-133.4985
26.5625	-33.32078	-141.5843
26.875	-33.80042	-148.1697
27.1875	-34.72855	-161.8137
27.5	-36.61607	-169.7791
27.8125	-38.57796	-170.1269
28.125	-40.48084	-168.7944
28.4375	-42.34354	-158.9075
28.75	-42.09917	-144.8857
29.0625	-41.45954	-137.9972
29.375	-40.44245	-131.5069
29.6875	-38.57895	-131.8103
30	-36.80782	-135.1054
30.3125	-34.42215	-146.2086
30.625	-32.30908	-169.9025
30.9375	-33.29367	151.2038
31.25	-37.60558	124.5661
31.5625	-44.54388	108.5928
31.875	-48.96762	172.3726
32.1875	-44.64167	168.0252
32.5	-45.73222	153.5309
32.8125	-48.65234	147.6318
33.125	-50.58556	149.6716
33.4375	-52.51061	159.4464
33.75	-54.39668	173.6134
34.0625	-56.28897	-173.5154
34.375	-54.88302	-161.299
34.6875	-54.44765	-141.9671
35	-53.6285	-135.8154
35.3125	-54.64249	-131.3349
35.625	-52.44012	-127.002
35.9375	-52.62376	-111.7935
36.25	-52.00639	-115.2494
36.5625	-51.76874	-114.8852
36.875	-51.27294	-119.0316
37.1875	-50.43346	-116.7799
37.5	-49.81894	-117.1993
37.8125	-50.86179	-102.6482
38.125	-50.03443	-111.1364
38.4375	-49.60916	-109.8042
38.75	-48.76925	-108.2916
39.0625	-49.71018	-106.6391
39.375	-48.1124	-106.3749
39.6875	-47.68356	-107.206
40	-47.91616	-93.48953
40.3125	-46.80487	-101.1982
40.625	-45.1791	-98.194
40.9375	-45.20136	-118.8053
41.25	-47.56524	-115.6288
41.5625	-46.97324	-106.5896
41.875	-47.23827	-114.7364
42.1875	-45.00664	-98.38711
42.5	-47.45002	-104.9166
42.8125	-44.42747	-106.8156
43.125	-46.45054	-101.6291
43.4375	-45.00265	-110.6207
43.75	-44.88864	-98.97812
44.0625	-44.49711	-108.7439
44.375	-44.12701	-106.5534
44.6875	-44.13515	-111.7762
45	-43.90159	-112.9024
45.3125	-43.65268	-118.7029
45.625	-44.7165	-116.998
45.9375	-45.09237	-117.5855
46.25	-45.47214	-112.6661
46.5625	-46.5769	-113.8424
46.875	-46.23234	-110.9882
47.1875	-45.77409	-111.4727
47.5	-45.07502	-100.8336
47.8125	-45.29331	-106.8222
48.125	-44.2934	-103.0063
48.4375	-44.01064	-100.3974
48.75	-44.54424	-98.33277
49.0625	-43.54636	-103.9872
49.375	-43.69027	-100.6244
49.6875	-43.29099	-102.0755
50	-43.41357	-101.7847
50.3125	-43.24566	-98.28262
50.625	-42.57074	-99.60194
50.9375	-42.77867	-103.3204
51.25	-42.09423	-102.2116
51.5625	-42.82674	-100.9878
51.875	-42.07055	-103.7199
52.1875	-41.99871	-100.8006
52.5	-41.97948	-98.68495
52.8125	-41.69736	-103.0702
53.125	-41.92482	-100.116
53.4375	-41.73299	-102.346
53.75	-41.56147	-101.2042
