Frequency	Magnitude	Phase
0.3125	-84.22245	47.83796
0.625	-79.2953	-40.95487
0.9375	-78.26375	-43.32592
1.25	-77.42491	-26.96146
1.5625	-76.43976	-46.28325
1.875	-75.38323	-43.99946
2.1875	-76.80133	-62.99278
2.5	-78.17193	-69.81322
2.8125	-74.58167	-77.4388
3.125	-75.98303	-106.9476
3.4375	-78.44977	-90.57475
3.75	-73.60738	-85.04768
4.0625	-77.94242	-87.03967
4.375	-77.0985	-141.0586
4.6875	-76.15656	-141.8459
5	-78.4881	-80.56361
5.3125	-77.95709	-135.6055
5.625	-69.77553	-153.9933
5.9375	-80.10286	-144.2062
6.25	-71.42719	-148.8839
6.5625	-74.0878	-162.0904
6.875	-70.72462	-140.2559
7.1875	-69.31458	-171.0743
7.5	-69.40325	-154.6819
7.8125	-73.5955	144.3887
8.125	-69.21562	170.9814
8.4375	-75.3318	-167.6214
8.75	-65.47993	156.1677
9.0625	-73.80105	147.5297
9.375	-67.6323	137.1463
9.6875	-69.59924	125.5784
10	-66.21385	141.6868
10.3125	-68.74343	127.5819
10.625	-69.51517	130.834
10.9375	-64.17822	127.732
11.25	-65.59029	125.0109
11.5625	-64.33578	116.188
11.875	-62.71402	123.6306
12.1875	-62.27593	105.8885
12.5	-62.33021	111.9743
12.8125	-61.1349	112.1552
13.125	-60.63117	111.8906
13.4375	-59.79154	102.8587
13.75	-58.32407	99.36472
14.0625	-58.10729	98.0755
14.375	-57.05155	99.84276
14.6875	-55.85079	92.63776
15	-53.8483	90.15981
15.3125	-52.8797	89.80296
15.625	-52.37064	84.4079
15.9375	-50.88531	83.93334
16.25	-49.76568	78.78716
16.5625	-48.71416	72.65797
16.875	-47.1086	59.094
17.1875	-47.54847	50.04848
17.5	-49.89747	53.58333
17.8125	-49.73046	67.54522
18.125	-47.95628	73.78413
18.4375	-46.07511	77.39452
18.75	-44.40998	79.93439
19.0625	-42.5423	79.42899
19.375	-40.61966	78.22649
19.6875	-38.72129	76.57388
20	-36.56529	73.66467
20.3125	-34.00219	71.23065
20.625	-31.28619	67.1356
20.9375	-28.07404	60.5885
21.25	-23.52319	47.48896
21.5625	-20.2391	6.095494
21.875	-20.82544	-31.06947
22.1875	-22.34101	-61.0158
22.5	-24.87566	-81.08235
22.8125	-27.59798	-89.77419
23.125	-29.06579	-91.93685
23.4375	-30.02029	-94.96084
23.75	-30.94211	-99.30942
24.0625	-31.89388	-103.8929
24.375	-32.59291	-105.5802
24.6875	-33.03903	-106.7887
25	-33.31027	-109.9703
25.3125	-33.19259	-114.3845
25.625	-33.11312	-116.7728
25.9375	-33.06962	-122.4855
26.25	-32.93518	-127.4901
26.5625	-33.48013	-134.2213
26.875	-34.30701	-145.5061
27.1875	-34.79919	-154.4504
27.5	-36.2654	-165.3831
27.8125	-38.25124	-167.8982
28.125	-40.21099	-166.6543
28.4375	-41.50082	-155.3982
28.75	-42.62634	-145.0423
29.0625	-42.53056	-134.7073
29.375	-41.43734	-131.7365
