Frequency	Magnitude	Phase
0.3125	-38.75454	25.79261
0.625	-40.82381	-42.44721
0.9375	-40.09106	-157.6093
1.25	-35.72255	114.0644
1.5625	-35.01451	51.05282
1.875	-41.27255	83.694
2.1875	-35.90105	44.63424
2.5	-34.70498	-39.42587
2.8125	-35.64801	-124.2702
3.125	-36.20315	-86.56013
3.4375	-37.24254	-132.18
3.75	-39.6976	167.517
4.0625	-40.41793	164.8986
4.375	-37.11835	124.5046
4.6875	-34.08208	54.97633
5	-39.20784	-71.90459
5.3125	-41.99842	95.22289
5.625	-37.86578	-14.9972
5.9375	-38.86044	-116.3685
6.25	-38.91326	166.2249
6.5625	-41.8732	81.17213
6.875	-48.11919	12.17535
7.1875	-40.00424	143.6494
7.5	-36.85012	72.02404
7.8125	-39.75883	-27.69193
8.125	-41.43057	-157.3332
8.4375	-42.78883	98.63988
8.75	-44.03595	-120.0639
9.0625	-37.01369	151.9755
9.375	-36.2681	74.34248
9.6875	-47.01862	11.58611
10	-43.1311	84.11648
10.3125	-43.25696	-16.07855
10.625	-51.7391	-98.30053
10.9375	-50.08977	-109.6791
11.25	-52.44976	-96.65955
11.5625	-44.55743	-134.0263
11.875	-47.83966	131.3742
12.1875	-45.06497	153.084
12.5	-45.03491	108.734
12.8125	-47.71357	91.91639
13.125	-48.16206	51.55524
13.4375	-46.36297	123.3163
13.75	-42.81545	96.715
14.0625	-47.15236	61.16061
14.375	-48.80736	49.91846
14.6875	-45.956	88.11687
15	-43.37037	6.062518
15.3125	-41.71046	-147.1749
15.625	-42.69599	113.8213
15.9375	-43.78515	96.08015
16.25	-41.77992	100.234
16.5625	-39.77847	72.12288
16.875	-46.20538	37.04141
17.1875	-43.40684	76.37362
17.5	-43.57598	72.7276
17.8125	-43.08386	68.34431
18.125	-44.10944	61.02312
18.4375	-41.42012	84.44669
18.75	-40.51107	77.28661
19.0625	-39.42557	76.89485
19.375	-37.43076	79.38204
19.6875	-35.58713	70.93527
20	-34.43329	75.84969
20.3125	-31.39267	72.64667
20.625	-28.89007	69.12311
20.9375	-25.14377	63.71948
21.25	-20.95711	49.71642
21.5625	-15.04673	21.28633
21.875	-13.77722	-54.8093
22.1875	-20.56037	-85.62746
22.5	-23.76249	-92.31561
22.8125	-25.74072	-95.48386
23.125	-27.69949	-99.61045
23.4375	-28.70533	-99.52157
23.75	-29.88442	-104.5744
24.0625	-30.91201	-105.3958
24.375	-31.48846	-104.3726
24.6875	-31.86581	-113.2752
25	-33.36357	-109.3588
25.3125	-32.30981	-109.9006
25.625	-32.93294	-117.7463
25.9375	-32.98134	-119.033
26.25	-33.16633	-125.9182
26.5625	-33.50597	-135.7949
26.875	-34.58027	-141.6395
27.1875	-35.43238	-146.5363
27.5	-37.43286	-153.5705
27.8125	-40.5559	-148.8574
28.125	-40.65073	-130.8681
28.4375	-41.11314	-121.1202
28.75	-38.59655	-108.3985
29.0625	-38.11635	-114.6071
29.375	-36.85343	-113.3915
29.6875	-36.41788	-121.8703
30	-34.70684	-121.8096
30.3125	-33.03788	-135.5823
30.625	-31.56167	-156.468
30.9375	-31.69462	158.674
31.25	-37.99721	121.8063
31.5625	-43.47622	129.2056
31.875	-44.35183	-135.2816
32.1875	-41.57814	-166.0155
32.5	-41.43056	162.1741
32.8125	-43.10189	147.517
33.125	-46.09794	169.8159
33.4375	-45.0306	140.5762
33.75	-45.06975	-5.364668
34.0625	-45.93398	-90.68304
34.375	-44.33232	-117.0493
34.6875	-44.92949	-86.7645
35	-44.87013	-99.0741
35.3125	-44.39496	-109.1278
35.625	-44.25742	-103.9086
35.9375	-46.74252	-101.5465
36.25	-45.84135	-111.4839
36.5625	-45.23621	-105.1324
36.875	-43.3659	-114.0186
37.1875	-42.11033	-112.1663
37.5	-43.94512	-96.40862
37.8125	-44.16957	-106.9949
38.125	-44.43455	-77.31496
38.4375	-44.10036	-94.63689
38.75	-42.85921	-119.7882
39.0625	-42.68597	-92.00635
39.375	-43.42267	-105.0567
39.6875	-42.91525	-107.4053
40	-43.4742	-94.37453
40.3125	-43.03273	-96.19581
40.625	-40.72989	-97.91289
40.9375	-41.34367	-103.5451
41.25	-41.56456	-104.2706
41.5625	-41.40555	-117.1168
41.875	-43.05834	-99.60497
42.1875	-41.39745	-96.3392
42.5	-41.08074	-105.608
42.8125	-42.15139	-94.13046
43.125	-39.91032	-101.6597
43.4375	-40.55264	-107.2252
43.75	-40.8939	-98.00857
44.0625	-39.94131	-111.7225
44.375	-40.88479	-107.4251
44.6875	-40.7649	-105.9061
45	-39.68162	-112.3684
45.3125	-40.11904	-114.0413
45.625	-41.05352	-114.9999
45.9375	-41.47385	-115.4184
46.25	-41.1441	-102.8149
46.5625	-41.29808	-104.2578
46.875	-41.81798	-94.06901
47.1875	-40.73445	-97.44212
47.5	-41.3876	-92.99879
47.8125	-40.48083	-93.02811
48.125	-40.45121	-100.4076
48.4375	-40.31105	-95.49195
48.75	-39.8406	-88.48407
49.0625	-38.60669	-98.83738
49.375	-39.50208	-98.83163
49.6875	-39.27995	-96.34206
50	-39.49492	-100.0613
50.3125	-39.68839	-99.01756
50.625	-39.4734	-95.59638
50.9375	-38.75732	-95.62737
51.25	-40.0715	-92.74911
51.5625	-38.50418	-83.66198
51.875	-38.49226	-93.49796
52.1875	-38.61559	-88.38961
52.5	-37.90405	-95.0988
52.8125	-38.04583	-93.14744
53.125	-38.02094	-92.44912
53.4375	-38.25255	-93.59613
53.75	-37.55702	-95.56029
54.0625	-38.02532	-90.21388
54.375	-37.23175	-93.09942
54.6875	-38.37535	-89.66918
55	-37.47503	-88.68169
55.3125	-37.11755	-93.97518
55.625	-36.9525	-90.7822
55.9375	-36.40538	-93.59172
56.25	-36.62242	-94.68806
56.5625	-36.95553	-89.74778
56.875	-35.74966	-90.31551
57.1875	-36.10034	-95.57735
57.5	-36.53384	-92.8207
57.8125	-36.12929	-91.50874
58.125	-36.13903	-91.50475
58.4375	-35.50856	-94.82787
58.75	-35.16688	-92.38084
59.0625	-35.24833	-96.26369
59.375	-35.6405	-93.5874
59.6875	-34.70472	-94.30097
60	-35.19008	-98.67473
60.3125	-35.43089	-100.2681
60.625	-35.51234	-96.4437
60.9375	-35.13958	-98.39733
61.25	-34.97123	-98.48973
