Frequency	Magnitude	Phase
0.3125	-82.97044	44.30666
0.625	-81.34609	-58.7217
0.9375	-77.13625	-92.71209
1.25	-74.66278	-115.8794
1.5625	-74.73984	-117.883
1.875	-73.59747	-103.595
2.1875	-70.43307	-103.9158
2.5	-70.37582	-106.4118
2.8125	-71.17923	-111.6963
3.125	-70.48958	-102.7901
3.4375	-69.36652	-94.11646
3.75	-68.78511	-110.4625
4.0625	-68.41015	-108.8235
4.375	-67.82311	-109.3603
4.6875	-66.60825	-113.3442
5	-66.26567	-109.7775
5.3125	-67.0603	-121.5924
5.625	-66.26304	-119.8812
5.9375	-66.62009	-126.1127
6.25	-66.51569	-126.3986
6.5625	-67.88779	-114.7121
6.875	-64.42331	-112.0754
7.1875	-64.95014	-123.2719
7.5	-64.37424	-130.1308
7.8125	-66.85703	-127.1224
8.125	-64.50484	-123.8041
8.4375	-65.23474	-132.1678
8.75	-64.59403	-128.4518
9.0625	-66.28049	-135.0952
9.375	-63.97446	-145.2287
9.6875	-63.62635	-145.7742
10	-70.17287	-153.0834
10.3125	-65.12662	-160.5071
10.625	-65.21712	-167.2969
10.9375	-62.73837	-168.411
11.25	-66.1896	176.1069
11.5625	-66.93624	-173.1809
11.875	-64.99174	167.5676
12.1875	-63.74342	162.922
12.5	-64.70976	149.1617
12.8125	-62.71183	163.8874
13.125	-60.46501	159.8687
13.4375	-59.80734	137.9939
13.75	-59.16288	150.5205
14.0625	-58.50326	139.5394
14.375	-57.52594	130.648
14.6875	-56.42611	130.0588
15	-54.96129	120.7567
15.3125	-54.50057	118.1612
15.625	-53.38327	103.4946
15.9375	-51.81846	99.76242
16.25	-51.20899	88.25817
16.5625	-50.90211	72.2906
16.875	-53.61629	69.55114
17.1875	-55.3004	92.29008
17.5	-52.58339	108.3754
17.8125	-49.73275	105.8221
18.125	-48.22372	101.7095
18.4375	-46.21094	98.49461
18.75	-44.84031	95.97877
19.0625	-42.8552	91.6145
19.375	-40.93398	92.04018
19.6875	-38.8211	86.74123
20	-36.71115	84.00995
20.3125	-34.19714	79.16088
20.625	-31.02815	74.98874
20.9375	-27.43707	68.52535
21.25	-21.37571	57.88226
21.5625	-11.74732	-18.42219
21.875	-21.62416	-80.64922
22.1875	-26.27626	-84.79344
22.5	-28.61916	-90.34478
22.8125	-30.24978	-93.84384
23.125	-31.16258	-93.04939
23.4375	-31.86203	-94.8315
23.75	-32.41484	-99.56494
24.0625	-32.44497	-101.8603
24.375	-32.71129	-104.4366
24.6875	-32.49752	-107.4689
25	-32.5782	-112.4981
25.3125	-32.39945	-115.7736
25.625	-32.23678	-122.2028
25.9375	-32.30346	-129.952
26.25	-32.41118	-137.7121
26.5625	-32.92046	-144.5781
26.875	-33.74476	-158.0649
27.1875	-35.18024	-162.9506
27.5	-36.67313	-164.777
27.8125	-38.30064	-161.7747
28.125	-39.10389	-159.9734
28.4375	-40.22445	-149.0833
28.75	-40.16808	-141.4348
29.0625	-39.67194	-134.9838
29.375	-38.65123	-132.2497
29.6875	-37.27031	-129.613
30	-35.39878	-134.1662
30.3125	-33.82039	-142.6204
30.625	-31.97493	-160.8933
30.9375	-32.19584	165.7698
31.25	-36.76047	140.1395
31.5625	-44.80622	154.5349
31.875	-41.06548	-155.4339
32.1875	-37.59488	-178.86
32.5	-38.80704	159.967
32.8125	-41.49425	147.8853
33.125	-44.93039	148.596
33.4375	-47.7951	153.7179
