Frequency	Magnitude	Phase
0.3125	-82.19402	-155.3595
0.625	-75.20474	-100.2424
0.9375	-71.61284	-114.8378
1.25	-68.49851	-128.7209
1.5625	-67.36795	-102.418
1.875	-68.1055	-126.582
2.1875	-67.66099	-124.8015
2.5	-66.22379	-124.8455
2.8125	-65.71986	-127.7214
3.125	-65.04685	-136.5647
3.4375	-63.24493	-127.0343
3.75	-64.32555	-124.868
4.0625	-65.01662	-125.9741
4.375	-63.34527	-129.866
4.6875	-62.67298	-118.4556
5	-62.07911	-131.2325
5.3125	-63.01131	-129.66
5.625	-62.15594	-131.4347
5.9375	-60.36712	-137.7937
6.25	-60.48903	-137.2532
6.5625	-62.69971	-116.0765
6.875	-63.36533	-124.4927
7.1875	-60.17564	-145.1282
7.5	-61.32727	-135.1037
7.8125	-59.08479	-138.931
8.125	-60.81605	-143.0635
8.4375	-62.67775	-133.5453
8.75	-62.52072	-153.0746
9.0625	-61.9897	-130.1868
9.375	-61.06478	-145.8267
9.6875	-64.48247	-155.0735
10	-59.40078	-160.6811
10.3125	-60.63875	-146.2536
10.625	-59.80597	-152.9009
10.9375	-63.42254	-152.7242
11.25	-60.7097	-165.919
11.5625	-61.7715	-176.4818
11.875	-60.45623	-179.2645
12.1875	-60.69379	174.389
12.5	-62.58573	155.1936
12.8125	-61.15501	-177.0103
13.125	-59.04134	170.9919
13.4375	-57.06963	144.7791
13.75	-60.02539	159.5826
14.0625	-58.10356	132.6557
14.375	-61.30945	119.5118
14.6875	-57.40107	116.782
15	-56.63833	105.8751
15.3125	-53.85413	113.4718
15.625	-51.39922	103.9537
15.9375	-50.56893	100.1447
16.25	-49.79576	96.17467
16.5625	-48.36785	74.8055
16.875	-48.11371	66.35449
17.1875	-48.78357	35.72124
17.5	-53.06973	58.1848
17.8125	-50.7192	88.85587
18.125	-48.13623	90.00867
18.4375	-45.63495	86.54642
18.75	-43.93714	82.96601
19.0625	-42.29331	81.92962
19.375	-40.5815	81.75904
19.6875	-38.06503	83.69283
20	-35.63553	80.68036
20.3125	-32.91911	71.78561
20.625	-30.15094	59.78151
20.9375	-27.61929	44.90418
21.25	-25.68588	28.56943
21.5625	-23.90162	11.76137
21.875	-22.39908	-8.596724
22.1875	-21.21359	-35.19016
22.5	-21.44405	-68.7192
22.8125	-24.76692	-100.7578
23.125	-30.36627	-98.0139
23.4375	-29.65586	-85.38748
23.75	-29.54931	-93.60821
24.0625	-30.35309	-96.97242
24.375	-31.20193	-102.8157
24.6875	-31.67742	-106.3349
