Frequency	Magnitude	Phase
0.3125	-84.26675	-131.2035
0.625	-76.43653	-95.91057
0.9375	-75.35469	-72.27321
1.25	-75.34685	-96.97593
1.5625	-71.03957	-134.1472
1.875	-70.80987	-130.1567
2.1875	-72.9369	-127.1372
2.5	-70.32803	-143.8178
2.8125	-68.6853	-128.8615
3.125	-68.37563	-125.5723
3.4375	-68.13005	-126.3521
3.75	-67.35131	-141.3523
4.0625	-65.4317	-128.8727
4.375	-64.45634	-126.4228
4.6875	-66.0097	-104.6323
5	-66.74123	-109.0306
5.3125	-66.36308	-110.6969
5.625	-67.32652	-117.2829
5.9375	-67.08718	-129.1483
6.25	-66.17152	-141.6544
6.5625	-66.35314	-117.332
6.875	-65.47697	-111.1077
7.1875	-66.14592	-133.3915
7.5	-65.38802	-123.9091
7.8125	-65.9515	-169.0749
8.125	-65.7045	-177.5568
8.4375	-64.84485	-176.9814
8.75	-65.56184	-157.0122
9.0625	-66.14861	-177.6086
9.375	-63.25674	156.775
9.6875	-63.22359	164.2841
10	-64.55438	-151.5259
10.3125	-65.12641	174.0954
10.625	-66.57012	177.9563
10.9375	-64.67611	140.2029
11.25	-63.31017	145.2631
11.5625	-63.4717	132.0377
11.875	-61.19788	139.7154
12.1875	-61.10324	125.3146
12.5	-59.38965	131.3564
12.8125	-59.01142	150.2831
13.125	-57.99107	145.7762
13.4375	-57.24252	145.3626
13.75	-57.20871	140.4806
14.0625	-59.64119	123.8037
14.375	-56.36642	110.5409
14.6875	-56.78537	111.0609
15	-53.17706	111.4224
15.3125	-52.41785	119.0338
15.625	-52.67884	103.4772
15.9375	-52.1666	90.80492
16.25	-49.12624	71.0997
16.5625	-48.39149	66.56033
16.875	-48.59602	51.18318
17.1875	-50.89367	68.37138
17.5	-49.49242	84.42261
17.8125	-48.10899	93.08817
18.125	-46.47047	89.29742
18.4375	-44.48874	88.266
18.75	-43.00902	86.01316
19.0625	-40.79657	86.06258
19.375	-39.76435	85.98197
19.6875	-37.38676	80.94988
20	-35.76144	81.46094
20.3125	-33.71054	77.13377
20.625	-31.10427	76.57553
20.9375	-28.30608	72.2458
21.25	-24.75216	63.09325
21.5625	-19.23319	48.1937
21.875	-13.02226	-11.22093
22.1875	-18.49294	-62.64219
22.5	-21.99805	-76.12064
22.8125	-24.22408	-89.48957
23.125	-26.04623	-93.7323
23.4375	-27.63844	-100.4342
23.75	-28.79157	-103.8715
24.0625	-29.80424	-107.3336
24.375	-30.48765	-108.279
24.6875	-30.85249	-112.8001
25	-31.49131	-113.1121
25.3125	-31.29533	-116.4366
25.625	-31.28983	-116.1643
25.9375	-31.5647	-124.2069
26.25	-31.57033	-129.9646
26.5625	-31.75473	-137.5022
26.875	-32.24457	-145.2309
27.1875	-33.37283	-158.3928
27.5	-34.31606	-160.6891
27.8125	-36.47405	-163.0297
28.125	-37.82673	-157.4816
28.4375	-39.77307	-147.2818
28.75	-39.66725	-137.8931
29.0625	-38.55038	-131.6576
29.375	-37.36248	-129.7641
29.6875	-36.29057	-129.1558
30	-34.42911	-129.0238
30.3125	-32.50556	-135.4722
30.625	-30.40292	-152.4946
30.9375	-29.34151	172.639
31.25	-34.65029	135.2388
31.5625	-43.7241	158.6593
31.875	-38.48023	-162.2454
32.1875	-36.01278	-177.9807
32.5	-35.70932	164.4225
32.8125	-38.28779	142.9371
33.125	-41.05432	133.0815
33.4375	-44.36719	132.6081
33.75	-45.89577	139.9445
34.0625	-48.37488	160.4847
34.375	-51.15392	160.2559
34.6875	-52.65163	174.9801
35	-51.96213	-170.1925
35.3125	-53.50934	-169.2334
35.625	-50.83801	-167.4382
35.9375	-50.5431	-145.9235
36.25	-51.0178	-133.2418
36.5625	-50.28069	-136.1851
36.875	-49.35901	-132.5713
37.1875	-48.66863	-121.7211
37.5	-49.96433	-114.0642
37.8125	-49.00368	-118.0932
38.125	-48.90547	-114.2566
38.4375	-47.38135	-116.6959
38.75	-47.12124	-114.0288
39.0625	-46.21565	-109.7557
39.375	-46.7983	-100.1221
39.6875	-46.21568	-101.9089
40	-45.98091	-94.77348
40.3125	-45.85617	-103.6603
40.625	-42.45574	-105.7863
40.9375	-45.15133	-126.8141
41.25	-45.59384	-108.7661
41.5625	-45.94822	-105.5158
41.875	-45.43526	-104.6117
42.1875	-45.61792	-105.4289
42.5	-45.31105	-103.3465
42.8125	-44.90797	-103.5008
43.125	-44.64571	-103.0869
43.4375	-44.73728	-100.3836
43.75	-43.81425	-98.87503
44.0625	-43.56067	-101.6371
44.375	-43.26111	-102.8901
44.6875	-43.75386	-101.71
45	-43.64894	-108.695
45.3125	-43.8497	-109.0342
45.625	-44.11692	-107.0125
45.9375	-44.21665	-106.7776
46.25	-44.05063	-102.1776
46.5625	-44.56123	-99.6199
46.875	-43.97061	-103.3939
47.1875	-44.1243	-94.68956
47.5	-43.73513	-95.7215
47.8125	-43.43015	-98.5704
48.125	-42.63117	-97.13894
48.4375	-42.84221	-97.3536
48.75	-42.73803	-99.06296
49.0625	-41.9755	-97.84691
49.375	-42.13609	-99.40477
49.6875	-41.47974	-99.88547
50	-41.39902	-98.70898
50.3125	-41.25919	-97.28362
50.625	-41.12095	-96.31607
50.9375	-41.10651	-97.65179
51.25	-41.02404	-96.11015
51.5625	-40.35709	-99.30224
51.875	-40.29371	-94.28238
52.1875	-40.19257	-96.26568
52.5	-40.38567	-94.77731
52.8125	-40.62593	-97.31274
53.125	-40.01331	-97.55135
53.4375	-39.76518	-99.30497
53.75	-39.70274	-98.35183
54.0625	-39.20438	-99.5723
54.375	-39.26907	-98.26319
54.6875	-39.11633	-99.01028
55	-39.17405	-98.1134
55.3125	-38.92033	-98.36156
55.625	-38.65218	-100.4042
55.9375	-38.59447	-98.3866
56.25	-38.25665	-100.3813
56.5625	-38.13242	-101.52
56.875	-37.7372	-98.56794
57.1875	-37.90748	-100.2049
57.5	-37.66839	-99.62151
57.8125	-37.47672	-99.92212
58.125	-37.38341	-100.2703
58.4375	-37.10952	-101.9804
58.75	-36.86232	-102.0962
59.0625	-36.92896	-102.0088
59.375	-36.46413	-102.2658
59.6875	-36.62878	-103.2381
60	-36.45533	-104.7803
60.3125	-36.349	-104.7433
60.625	-36.29614	-103.9962
60.9375	-35.86152	-106.3646
61.25	-36.33403	-105.4451
61.5625	-36.04678	-107.0806
61.875	-36.12365	-105.323
62.1875	-36.05143	-105.3018
62.5	-35.99934	-104.9036
