Frequency	Magnitude	Phase
0.3125	-75.08195	-37.37664
0.625	-72.70231	-13.12932
0.9375	-74.0943	-48.24761
1.25	-73.15291	-49.74534
1.5625	-72.43168	-52.29015
1.875	-70.75057	-74.02295
2.1875	-68.84258	-74.47417
2.5	-70.80721	-80.60311
2.8125	-70.20705	-93.30991
3.125	-69.00895	-99.29645
3.4375	-68.02473	-88.187
3.75	-69.94508	-92.10011
4.0625	-68.98785	-84.32754
4.375	-67.90272	-100.613
4.6875	-69.2159	-110.5545
5	-67.6452	-130.8734
5.3125	-65.29359	-110.6439
5.625	-67.18665	-111.5595
5.9375	-65.29947	-132.8591
6.25	-65.20759	-124.818
6.5625	-63.79392	-122.0458
6.875	-63.59575	-120.5916
7.1875	-65.91947	-128.4772
7.5	-66.99235	-128.0459
7.8125	-62.34531	-134.5631
8.125	-63.93161	-130.6514
8.4375	-64.03866	-146.4303
8.75	-63.38614	-141.7566
9.0625	-62.73014	-145.5771
9.375	-62.83192	-149.3522
9.6875	-60.00825	-160.5136
10	-62.09631	-150.8533
10.3125	-60.89127	-154.1345
10.625	-61.67568	-156.0874
10.9375	-61.37539	-154.4288
11.25	-62.08844	-164.7049
11.5625	-61.72366	-164.1731
11.875	-61.36221	-177.7717
12.1875	-61.8453	-178.4258
12.5	-62.09524	178.1034
12.8125	-60.09165	169.8066
13.125	-61.64256	167.0647
13.4375	-58.01989	163.7492
13.75	-58.346	156.1338
14.0625	-58.37428	148.2788
14.375	-58.95956	147.7899
14.6875	-57.96343	134.8624
15	-56.2962	133.0087
15.3125	-54.6741	127.8975
15.625	-54.46163	111.6226
15.9375	-52.13175	100.4098
16.25	-51.20746	98.64877
16.5625	-49.92443	80.72254
16.875	-49.33567	56.44682
17.1875	-52.18012	38.42766
17.5	-57.53727	62.96585
17.8125	-53.91605	90.26915
18.125	-50.87117	96.35192
18.4375	-47.94415	92.33815
18.75	-45.80933	89.83056
19.0625	-43.49278	89.71558
19.375	-41.91346	87.72155
19.6875	-39.69195	83.72787
20	-36.85339	80.57338
20.3125	-34.54809	73.60972
20.625	-32.00459	69.61388
20.9375	-28.50033	64.04535
21.25	-23.42159	43.93389
21.5625	-21.70155	6.546004
21.875	-21.86605	-23.87355
22.1875	-22.66578	-47.91913
22.5	-23.88273	-68.46657
22.8125	-25.60312	-84.49428
23.125	-27.45947	-95.27215
23.4375	-29.12495	-101.6439
23.75	-30.20406	-104.4397
24.0625	-31.39262	-106.1322
24.375	-31.92339	-108.0494
24.6875	-32.35826	-109.3275
25	-32.46552	-112.3271
25.3125	-32.57582	-115.761
25.625	-32.40117	-119.7795
25.9375	-32.63214	-125.7253
26.25	-32.58954	-133.2764
26.5625	-32.84998	-140.4037
26.875	-33.53603	-149.9157
27.1875	-34.57341	-158.678
27.5	-36.45717	-164.9786
27.8125	-38.65135	-165.3541
28.125	-40.54214	-158.7706
28.4375	-41.68131	-147.0386
28.75	-41.04536	-135.885
29.0625	-40.14383	-130.476
29.375	-39.06983	-129.5923
29.6875	-37.8905	-127.9045
30	-36.10738	-134.9035
30.3125	-34.27408	-145.6534
30.625	-33.07728	-170.8197
30.9375	-35.2062	150.4851
31.25	-43.9073	140.6513
31.5625	-45.21271	-163.2844
31.875	-41.1962	-159.1705
32.1875	-39.70712	177.678
32.5	-41.4386	158.2445
32.8125	-44.71976	151.9159
33.125	-47.44017	150.9308
33.4375	-48.78412	158.1545
33.75	-50.91791	173.6175
34.0625	-52.21248	-175.1646
34.375	-53.10411	-164.7124
34.6875	-51.67802	-147.2132
35	-52.576	-144.6894
35.3125	-51.42114	-128.7371
35.625	-50.82819	-138.4559
35.9375	-50.45805	-125.6648
36.25	-49.39426	-125.9676
36.5625	-49.62315	-120.6888
36.875	-49.44118	-125.3646
37.1875	-48.98993	-124.6829
37.5	-48.82347	-119.7092
37.8125	-48.62163	-116.7742
38.125	-47.56169	-118.0652
38.4375	-48.45766	-115.8743
38.75	-47.4573	-113.3977
39.0625	-47.39021	-115.7502
39.375	-47.84215	-116.4533
39.6875	-46.96258	-113.1854
40	-46.83103	-107.6908
40.3125	-45.88046	-106.131
40.625	-44.05035	-108.9978
40.9375	-45.22075	-122.3154
41.25	-45.87127	-115.2732
41.5625	-46.55096	-115.3346
41.875	-45.93113	-112.0702
42.1875	-46.36	-109.6517
42.5	-44.60217	-108.4946
42.8125	-45.45367	-114.3349
43.125	-44.94187	-113.2522
43.4375	-44.56809	-116.2869
43.75	-45.07587	-110.8808
44.0625	-44.25535	-112.6119
44.375	-44.43885	-106.4953
44.6875	-43.8142	-111.3762
45	-43.9777	-116.8309
45.3125	-43.7841	-113.2691
45.625	-44.38471	-118.8129
45.9375	-44.04249	-113.4948
46.25	-44.4049	-110.9133
46.5625	-44.85356	-111.1295
46.875	-45.0864	-108.9876
47.1875	-43.87218	-107.5698
47.5	-44.4434	-102.3881
47.8125	-44.01003	-107.0535
48.125	-43.5104	-104.106
48.4375	-43.19326	-104.3437
48.75	-42.8149	-102.5357
49.0625	-43.14941	-101.5982
49.375	-42.68196	-99.02298
49.6875	-43.08607	-103.3936
50	-42.43327	-102.8569
50.3125	-42.19627	-102.0988
50.625	-42.56974	-100.2815
50.9375	-41.98973	-101.2182
51.25	-41.50169	-101.6004
51.5625	-41.27705	-100.2528
51.875	-41.87403	-103.6704
52.1875	-41.13615	-99.76335
52.5	-41.54705	-101.1334
52.8125	-40.45913	-98.25484
53.125	-40.3973	-97.08133
53.4375	-40.49218	-98.31308
53.75	-40.65519	-100.9035
54.0625	-40.41837	-99.82673
54.375	-40.06533	-99.69109
54.6875	-40.0491	-99.27592
55	-39.57224	-97.79402
55.3125	-39.7029	-99.5164
55.625	-39.32067	-99.04766
55.9375	-39.36637	-99.408
56.25	-39.03971	-101.0474
56.5625	-38.78369	-99.67319
56.875	-38.7406	-99.81525
57.1875	-38.85725	-100.202
57.5	-38.48589	-101.4999
57.8125	-38.39397	-101.7851
58.125	-38.29723	-101.8101
58.4375	-38.39096	-104.4771
58.75	-37.92276	-103.0892
59.0625	-38.03138	-103.5104
59.375	-38.02566	-103.3512
59.6875	-38.24828	-108.1283
60	-38.46645	-106.0932
60.3125	-37.99366	-104.8874
60.625	-38.34376	-103.8726
60.9375	-38.5161	-103.1977
61.25	-37.98793	-102.4724
61.5625	-37.67425	-101.7811
61.875	-37.69171	-102.2351
62.1875	-37.56467	-102.4155
62.5	-37.19657	-101.8008
62.8125	-37.13405	-101.4863
63.125	-37.08905	-101.8118
63.4375	-36.87217	-101.8732
63.75	-36.90182	-101.7051
64.0625	-36.48941	-103.5987
64.375	-36.56891	-104.9686
64.6875	-36.09913	-104.2503
65	-36.33799	-103.3836
65.3125	-36.49915	-101.2189
65.625	-36.13557	-104.0459
65.9375	-36.13766	-104.1104
66.25	-36.1142	-102.2964
66.5625	-36.1268	-101.7202
66.875	-35.80428	-101.5025
67.1875	-35.37815	-100.4571
67.5	-35.25814	-101.4089
67.8125	-35.08892	-101.5929
68.125	-35.0626	-100.0145
68.4375	-34.88622	-103.0046
68.75	-34.77314	-101.1053
69.0625	-34.54351	-101.6562
69.375	-34.31381	-102.9771
69.6875	-34.27709	-102.3549
70	-34.11995	-103.0148
70.3125	-34.01083	-103.9645
70.625	-33.86335	-104.4267
70.9375	-33.60592	-104.8945
71.25	-33.58152	-103.3999
71.5625	-33.30079	-103.8769
71.875	-33.18626	-103.9484
72.1875	-33.1456	-104.8272
72.5	-32.89636	-104.4514
72.8125	-32.6886	-104.9267
73.125	-32.51442	-103.1543
73.4375	-32.37519	-104.5994
73.75	-32.17294	-104.4311
74.0625	-32.05165	-105.14
74.375	-31.73876	-103.5979
74.6875	-31.56974	-106.2778
75	-31.08871	-106.0185
75.3125	-31.04683	-105.2258
75.625	-30.74404	-107.1202
75.9375	-30.42403	-107.415
76.25	-30.1655	-107.4285
76.5625	-30.0049	-107.9079
76.875	-29.79201	-109.0657
77.1875	-29.53403	-109.7142
77.5	-29.29804	-110.839
77.8125	-29.01761	-110.538
78.125	-28.92929	-112.4255
78.4375	-28.55023	-113.1287
78.75	-28.31647	-114.1194
79.0625	-28.04868	-116.1772
79.375	-27.94684	-117.6148
79.6875	-27.69771	-118.1674
80	-27.48486	-120.9832
80.3125	-27.2211	-123.0639
80.625	-27.12194	-124.3022
80.9375	-26.94981	-127.0534
81.25	-26.808	-129.0425
81.5625	-26.69832	-131.8864
81.875	-26.78957	-133.0574
