Frequency	Magnitude	Phase
0.3125	-78.78799	-56.3363
0.625	-74.5966	-130.7848
0.9375	-72.16465	-129.6936
1.25	-69.13423	-142.6922
1.5625	-68.94991	-105.9901
1.875	-66.96641	-117.2736
2.1875	-66.66045	-110.6558
2.5	-66.40236	-112.4771
2.8125	-64.87731	-117.247
3.125	-64.35199	-119.9464
3.4375	-63.06129	-121.2439
3.75	-63.26138	-115.5928
4.0625	-63.36981	-116.4643
4.375	-62.64763	-112.5424
4.6875	-62.22592	-111.8355
5	-61.38698	-108.2502
5.3125	-61.62732	-118.2791
5.625	-60.89285	-123.0274
5.9375	-60.80647	-121.4929
6.25	-60.78637	-118.1292
6.5625	-61.00296	-120.224
6.875	-60.63557	-123.5183
7.1875	-60.5787	-116.168
7.5	-60.11101	-118.2237
7.8125	-61.08315	-121.646
8.125	-60.57612	-128.6367
8.4375	-60.46333	-123.3484
8.75	-59.85428	-127.7688
9.0625	-59.74788	-128.55
9.375	-60.02834	-135.7915
9.6875	-60.75887	-131.9899
10	-60.45969	-141.5437
10.3125	-60.93623	-140.7113
10.625	-60.66124	-141.7807
10.9375	-62.00027	-143.8597
11.25	-61.3175	-158.8788
11.5625	-60.75101	-156.1301
11.875	-60.19658	-163.761
12.1875	-62.34155	-170.6472
12.5	-62.00449	-173.9065
12.8125	-60.02277	-178.0903
13.125	-60.10447	168.5603
13.4375	-59.98734	162.963
13.75	-59.09962	155.2047
14.0625	-57.49073	147.6697
14.375	-57.21718	142.607
14.6875	-55.69715	130.591
15	-54.84543	126.3873
15.3125	-52.7656	115.1756
15.625	-51.59032	107.8672
15.9375	-51.02697	101.1376
16.25	-49.58772	87.76608
16.5625	-49.4968	72.85545
16.875	-52.87197	62.68147
17.1875	-54.38894	88.13383
17.5	-51.12173	104.6786
17.8125	-48.41821	107.6843
18.125	-46.2051	103.46
18.4375	-44.50711	99.67227
18.75	-42.66956	100.5164
19.0625	-40.8102	98.57143
19.375	-38.92075	93.08003
19.6875	-36.82836	89.59735
20	-34.71572	86.07262
20.3125	-32.22744	82.34884
20.625	-28.9816	78.4611
20.9375	-25.06045	71.87
21.25	-18.76987	58.58674
21.5625	-11.40967	-35.11448
21.875	-20.93629	-74.89247
22.1875	-25.0667	-81.40416
22.5	-27.39349	-84.56594
22.8125	-28.83614	-86.34611
23.125	-29.73837	-89.28329
23.4375	-30.39278	-90.13673
23.75	-30.69102	-93.85575
24.0625	-30.96092	-96.72028
24.375	-31.13894	-100.2149
24.6875	-31.12303	-103.2582
25	-31.10697	-108.4093
25.3125	-31.02507	-113.6471
25.625	-31.08004	-121.1245
25.9375	-31.1375	-128.3518
26.25	-31.41148	-136.5627
26.5625	-31.87814	-146.7727
26.875	-32.97702	-152.4527
27.1875	-34.3367	-159.8668
27.5	-35.85973	-163.3684
27.8125	-37.58685	-162.5573
28.125	-38.8689	-158.7226
28.4375	-39.99529	-147.4475
28.75	-39.63498	-136.8175
29.0625	-38.58733	-129.6858
29.375	-37.46429	-130.4403
29.6875	-35.99883	-128.0904
30	-34.17854	-132.3757
30.3125	-32.45495	-143.7077
30.625	-30.78291	-159.3499
30.9375	-30.56845	162.6609
31.25	-36.75912	131.0445
31.5625	-46.39063	164.7898
31.875	-39.4524	-158.1818
32.1875	-36.665	179.9632
32.5	-37.76173	156.4302
32.8125	-40.86815	145.7579
33.125	-43.61559	149.3227
33.4375	-46.09447	154.5543
33.75	-47.38861	163.5546
34.0625	-49.0321	172.0339
34.375	-49.03294	-175.1965
34.6875	-50.03468	-164.1892
35	-49.08716	-156.4342
35.3125	-48.94739	-148.2665
35.625	-48.76545	-140.383
35.9375	-48.45978	-136.0739
36.25	-47.70466	-133.4081
36.5625	-47.62442	-131.9569
36.875	-47.1171	-127.5452
37.1875	-47.37398	-126.3927
37.5	-46.9649	-123.5633
37.8125	-45.83601	-124.5391
38.125	-46.36197	-121.1778
38.4375	-45.30404	-118.4639
38.75	-45.31492	-122.4646
39.0625	-45.04041	-116.7096
39.375	-44.37896	-116.2799
39.6875	-44.58723	-110.9249
40	-44.21366	-112.8098
40.3125	-43.50098	-108.3657
40.625	-42.17946	-111.4552
40.9375	-42.23555	-132.3762
41.25	-43.84009	-122.2931
41.5625	-43.78559	-114.8417
41.875	-43.61366	-115.0975
42.1875	-43.60614	-111.8404
42.5	-43.14978	-110.5752
42.8125	-43.19683	-110.9786
43.125	-42.73429	-112.7475
43.4375	-42.48553	-112.9817
43.75	-42.41625	-112.0272
44.0625	-41.7466	-109.8761
44.375	-41.9138	-112.8352
44.6875	-42.76921	-109.4916
45	-42.82888	-111.7213
45.3125	-42.98272	-113.7496
45.625	-42.12081	-113.0399
45.9375	-42.4774	-112.9411
46.25	-42.58616	-114.1759
46.5625	-42.36957	-108.1641
46.875	-42.09598	-109.8429
47.1875	-42.13998	-106.9113
47.5	-41.87881	-107.2655
47.8125	-41.77414	-106.7741
48.125	-41.85376	-107.4559
48.4375	-41.54333	-106.2555
48.75	-41.16822	-108.0356
49.0625	-41.36634	-105.8718
49.375	-41.0158	-106.0491
49.6875	-40.68637	-107.8622
50	-40.98828	-103.2175
50.3125	-40.50282	-105.854
50.625	-40.61005	-108.8377
50.9375	-40.61449	-107.8834
51.25	-40.44352	-105.1771
51.5625	-40.16091	-105.9635
51.875	-40.23241	-107.8022
52.1875	-39.89557	-106.9793
52.5	-40.21258	-105.1563
52.8125	-39.89063	-105.9592
53.125	-39.74406	-105.5086
53.4375	-39.36729	-105.7195
53.75	-39.17411	-105.161
54.0625	-39.13894	-105.6103
54.375	-39.05428	-105.5515
54.6875	-38.92051	-103.7552
55	-38.81305	-105.9564
55.3125	-38.66956	-105.1684
55.625	-38.22909	-106.0787
55.9375	-38.48058	-106.0875
56.25	-38.18073	-107.2037
56.5625	-37.98787	-105.8376
56.875	-37.94279	-104.7497
57.1875	-37.88774	-106.2213
57.5	-37.88642	-107.3608
57.8125	-37.48972	-106.8412
58.125	-37.30075	-107.2173
58.4375	-37.10286	-107.3034
58.75	-37.27311	-107.8417
59.0625	-37.12173	-108.5189
59.375	-37.1256	-108.5936
59.6875	-36.89172	-107.0185
60	-37.30064	-109.188
60.3125	-36.62267	-108.1448
60.625	-36.5769	-110.3729
60.9375	-36.5965	-108.8008
61.25	-36.59539	-108.9838
61.5625	-36.5046	-108.5994
61.875	-36.40802	-109.5083
62.1875	-36.06173	-109.9024
62.5	-36.06707	-106.9621
62.8125	-36.07264	-106.263
63.125	-35.94807	-107.5202
63.4375	-35.68648	-108.8838
63.75	-35.6847	-108.8006
64.0625	-35.33739	-109.8952
64.375	-35.28178	-109.7263
64.6875	-35.27763	-111.0274
65	-35.25492	-110.1347
65.3125	-35.31624	-110.56
65.625	-35.40509	-109.739
65.9375	-35.07336	-109.3637
66.25	-35.16382	-108.6445
66.5625	-34.86909	-106.0798
66.875	-34.6664	-105.0978
67.1875	-34.71767	-105.1044
67.5	-34.30432	-104.1404
67.8125	-34.21526	-103.6943
68.125	-33.98574	-104.1403
68.4375	-33.69672	-105.6401
68.75	-33.50831	-103.0233
69.0625	-33.38845	-104.5391
69.375	-33.13217	-104.8835
69.6875	-32.94744	-105.1151
70	-32.72482	-105.7517
70.3125	-32.74196	-107.3095
70.625	-32.72878	-107.1935
70.9375	-32.68931	-107.0149
71.25	-32.56872	-105.5256
71.5625	-32.2935	-105.3992
71.875	-32.18201	-106.7324
72.1875	-32.05225	-105.3288
72.5	-31.71279	-106.056
72.8125	-31.66609	-105.209
73.125	-31.29298	-105.5608
73.4375	-31.24495	-105.4401
73.75	-30.84303	-105.9571
74.0625	-30.80481	-106.0175
74.375	-30.74636	-105.8144
74.6875	-30.28337	-106.6487
75	-30.26561	-107.0631
75.3125	-29.83523	-106.9994
75.625	-29.61305	-107.2506
75.9375	-29.47118	-108.3413
76.25	-29.18678	-109.0868
76.5625	-29.08683	-109.2623
76.875	-28.89489	-108.6193
77.1875	-28.54487	-109.4292
77.5	-28.44398	-110.9399
77.8125	-28.19196	-111.6651
78.125	-27.83959	-111.4296
78.4375	-27.71267	-112.9728
78.75	-27.27952	-114.1414
79.0625	-27.06636	-113.8637
79.375	-26.73495	-115.4693
79.6875	-26.51491	-116.7929
80	-26.20671	-118.15
80.3125	-25.95468	-120.1611
80.625	-25.77015	-121.6727
80.9375	-25.36234	-123.0397
81.25	-25.12621	-125.4352
81.5625	-24.98698	-127.9152
81.875	-24.70417	-130.2197
82.1875	-24.52377	-132.9967
82.5	-24.3606	-135.3463
82.8125	-24.14671	-138.5664
83.125	-24.03614	-141.2674
83.4375	-24.04127	-144.6001
83.75	-23.93073	-147.3498
84.0625	-23.94179	-149.9549
84.375	-23.96063	-152.5542
84.6875	-23.9968	-155.9726
85	-23.95206	-159.4978
85.3125	-23.9444	-162.6497
85.625	-23.92879	-167.2497
85.9375	-24.0817	-172.3327
86.25	-24.33816	-177.3408
86.5625	-24.69599	177.6746
86.875	-25.27771	172.7004
87.1875	-26.15952	167.8943
87.5	-27.3021	164.3913
87.8125	-28.39351	161.8687
88.125	-29.72759	159.8656
88.4375	-30.73213	162.4907
88.75	-31.99285	167.0642
89.0625	-32.81989	171.2505
89.375	-33.32762	177.7884
89.6875	-33.69234	-178.0001
90	-34.37232	-172.291
90.3125	-34.40391	-166.6438
90.625	-34.44627	-160.4677
90.9375	-34.10779	-153.5749
91.25	-33.81013	-151.5721
91.5625	-33.37708	-146.1957
91.875	-32.90292	-144.601
92.1875	-32.36244	-141.9795
92.5	-31.87915	-142.9878
92.8125	-31.59582	-141.5909
93.125	-31.25569	-142.7833
93.4375	-30.82878	-142.4655
93.75	-30.5623	-143.6384
94.0625	-30.36565	-145.218
94.375	-30.27686	-146.2673
94.6875	-30.47392	-147.6904
95	-30.25559	-149.3906
95.3125	-30.57728	-150.2048
95.625	-30.63853	-151.6536
95.9375	-30.82505	-151.8832
96.25	-31.11223	-152.1328
96.5625	-31.75989	-151.84
96.875	-32.19731	-149.9951
97.1875	-32.85516	-148.6943
97.5	-32.76606	-142.3187
97.8125	-32.53263	-136.5767
98.125	-32.49065	-137.4457
98.4375	-32.51497	-135.3226
98.75	-32.46419	-132.0474
99.0625	-32.27842	-129.2135
99.375	-31.95412	-126.8945
99.6875	-31.91949	-125.0718
100	-31.5234	-124.2025
100.3125	-31.16422	-122.0929
100.625	-31.08296	-120.9353
100.9375	-30.92754	-120.4699
101.25	-30.58443	-118.5931
101.5625	-30.28766	-117.8775
101.875	-30.25402	-116.1525
102.1875	-29.95016	-114.9857
102.5	-29.49184	-114.6459
102.8125	-29.45116	-114.2981
103.125	-29.02776	-112.7902
103.4375	-28.98506	-113.2533
103.75	-28.75272	-112.3041
104.0625	-28.57459	-112.3902
104.375	-28.28032	-111.766
104.6875	-28.13018	-110.6374
105	-27.64935	-110.4358
105.3125	-27.48956	-109.7938
105.625	-27.47181	-110.9676
105.9375	-27.12097	-110.6499
106.25	-26.96591	-110.6153
106.5625	-26.69627	-110.6346
106.875	-26.59981	-110.5344
107.1875	-26.38153	-110.1878
107.5	-26.16545	-109.5083
107.8125	-25.90312	-109.6067
108.125	-25.70909	-109.5116
108.4375	-25.53846	-109.7837
108.75	-25.41843	-109.6166
109.0625	-25.22934	-109.5335
109.375	-24.96145	-109.7812
109.6875	-24.70543	-108.8774
110	-24.54465	-109.1854
110.3125	-24.38823	-109.9937
110.625	-24.2506	-108.8238
110.9375	-24.01312	-109.3016
111.25	-23.76633	-109.4595
111.5625	-23.55237	-110.5263
111.875	-23.52833	-109.0368
112.1875	-23.25006	-110.1339
112.5	-23.11736	-110.4343
112.8125	-22.95	-110.6584
113.125	-22.79464	-110.8635
113.4375	-22.60228	-110.7618
113.75	-22.44845	-111.1109
114.0625	-22.2831	-111.3696
114.375	-22.17659	-110.9783
114.6875	-22.0218	-111.14
115	-21.90967	-111.3167
115.3125	-21.71624	-111.4529
115.625	-21.51153	-111.0413
115.9375	-21.27931	-112.105
116.25	-21.20876	-112.9188
116.5625	-21.21044	-114.137
116.875	-21.22236	-113.2025
117.1875	-21.24158	-112.6546
117.5	-21.09179	-111.608
117.8125	-20.96644	-110.8402
118.125	-20.76925	-109.4392
118.4375	-20.53558	-109.7596
118.75	-20.30615	-109.6219
119.0625	-20.11116	-109.2407
119.375	-19.87873	-109.1249
119.6875	-19.63711	-108.8565
120	-19.45663	-109.1013
120.3125	-19.37737	-108.8745
120.625	-19.19883	-108.1171
120.9375	-19.03903	-107.4745
121.25	-18.78817	-106.8947
121.5625	-18.53454	-106.273
121.875	-18.278	-106.0373
122.1875	-18.01649	-105.7615
122.5	-17.7886	-105.6574
122.8125	-17.50067	-105.467
123.125	-17.25479	-105.3358
123.4375	-17.01421	-105.367
123.75	-16.81524	-105.6325
124.0625	-16.54696	-105.3063
124.375	-16.33826	-105.3109
124.6875	-16.151	-104.8661
125	-15.92246	-104.3217
125.3125	-15.60227	-103.5909
125.625	-15.32277	-103.3138
125.9375	-14.98479	-102.648
126.25	-14.67282	-102.2649
126.5625	-14.32733	-102.0346
126.875	-13.93938	-102.0465
127.1875	-13.59323	-101.6772
