[START] seeds=[0, 1, 2, 3, 4] max_workers=5 device=cpu csv='korns_complexeql_benchmark_results.csv' hdf5='korns_dataset_train_extrap.hdf5'
[WORKER START] seed=0 device=cpu
[WORKER START] seed=1 device=cpu
[WORKER START] seed=3 device=cpu
[WORKER START] seed=4 device=cpu
[WORKER START] seed=2 device=cpu
[WORKER] seed=0 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=0 PID_START P1
[WORKER] seed=1 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=1 PID_START P1
Random seed set as 1791095845
Random seed set as 1319712737
[WORKER] seed=4 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=3 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=4 PID_START P1
[WORKER] seed=3 PID_START P1
Random seed set as 1867650593
Random seed set as 306679169
[WORKER] seed=2 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=2 PID_START P1
Random seed set as 1211952741
[PHASE1 | Epoch 6000] lr=1.00e-03, total=2.4261e-04, data=2.4260e-04, sparsity_reg=1.3326e-08, imag_w=1.9922e-09, active_edges=510
[PHASE1 | Epoch 6000] lr=1.00e-03, total=2.1769e-04, data=2.1768e-04, sparsity_reg=1.2377e-08, imag_w=1.6009e-09, active_edges=510
[PHASE1 | Epoch 6000] lr=1.00e-03, total=1.8324e-04, data=1.8322e-04, sparsity_reg=1.4281e-08, imag_w=3.8180e-09, active_edges=510
[PHASE1 | Epoch 6000] lr=1.00e-03, total=9.8620e-06, data=9.8430e-06, sparsity_reg=1.5371e-08, imag_w=3.6372e-09, active_edges=510
[PHASE1 | Epoch 7000] lr=1.00e-03, total=7.8407e-04, data=7.8405e-04, sparsity_reg=1.1923e-08, imag_w=2.3794e-09, active_edges=510
[PHASE1 | Epoch 7000] lr=1.00e-03, total=4.5479e-05, data=4.5463e-05, sparsity_reg=1.3699e-08, imag_w=2.2775e-09, active_edges=510
[PHASE1 | Epoch 7000] lr=1.00e-03, total=2.7955e-05, data=2.7941e-05, sparsity_reg=1.2609e-08, imag_w=1.8464e-09, active_edges=510
[PHASE1 | Epoch 7000] lr=1.00e-03, total=2.9475e-03, data=2.9475e-03, sparsity_reg=1.4351e-08, imag_w=3.9894e-09, active_edges=510
[PHASE1 | Epoch 7000] lr=1.00e-03, total=3.0296e-05, data=3.0276e-05, sparsity_reg=1.5656e-08, imag_w=3.8670e-09, active_edges=510
[PHASE1 | Epoch 8000] lr=1.00e-03, total=2.1326e-03, data=2.1326e-03, sparsity_reg=1.1670e-08, imag_w=2.4328e-09, active_edges=510
