Frequency	Magnitude	Phase
0.3125	-76.31084	-30.77282
0.625	-76.62284	-11.93047
0.9375	-69.06467	-49.54895
1.25	-71.1904	-95.51108
1.5625	-73.61922	-91.80382
1.875	-67.75439	-88.46534
2.1875	-67.01582	-98.16191
2.5	-67.051	-111.1377
2.8125	-67.78067	-115.191
3.125	-63.47864	-120.3021
3.4375	-66.57645	-112.0525
3.75	-64.1021	-108.8828
4.0625	-63.79508	-121.2638
4.375	-66.16093	-134.302
4.6875	-63.95536	-116.5439
5	-63.10943	-132.923
5.3125	-62.94083	-123.0842
5.625	-63.14297	-123.8053
5.9375	-64.94475	-117.6155
6.25	-64.23085	-136.6357
6.5625	-66.30387	-133.5648
6.875	-63.21304	-147.8823
7.1875	-64.34612	-150.9132
7.5	-63.23314	-136.0379
7.8125	-62.90808	-151.2985
8.125	-61.16191	-165.8793
8.4375	-62.5821	-153.7339
8.75	-61.93037	-151.2057
9.0625	-61.68034	-152.1847
9.375	-63.74511	-161.6441
9.6875	-64.4931	-165.3269
10	-61.61941	-158.5637
10.3125	-63.10905	-170.0417
10.625	-63.25037	-171.3238
10.9375	-63.35021	-163.3198
11.25	-64.38548	-179.814
11.5625	-63.03054	-177.438
11.875	-62.12659	171.8604
12.1875	-63.53216	156.7258
12.5	-61.13998	153.4368
12.8125	-70.10915	-177.3707
13.125	-63.47741	174.4991
13.4375	-63.22308	139.0015
13.75	-61.73038	129.6369
14.0625	-58.4412	138.1003
14.375	-61.64447	133.7741
14.6875	-60.57713	122.3871
15	-57.27312	116.8978
15.3125	-56.5116	100.8551
15.625	-54.15489	116.2473
15.9375	-54.87022	79.43365
16.25	-53.08927	85.09825
16.5625	-52.87344	56.79353
16.875	-54.99995	50.31474
17.1875	-57.08231	65.32343
17.5	-55.1595	80.69132
17.8125	-52.80722	82.84505
18.125	-51.26904	87.70585
18.4375	-49.05995	88.74068
18.75	-47.24676	84.20026
19.0625	-45.9343	78.81485
19.375	-44.08987	81.48246
19.6875	-42.24552	77.05242
20	-40.38187	73.30031
20.3125	-38.47728	70.67427
20.625	-36.10637	69.38895
20.9375	-33.68913	67.1352
21.25	-30.82206	61.00305
21.5625	-27.89812	52.14944
21.875	-23.54258	33.97968
22.1875	-19.91862	-2.837661
22.5	-20.60833	-46.11246
22.8125	-23.73975	-73.23833
23.125	-25.69954	-86.83382
23.4375	-27.88517	-94.57229
23.75	-29.08054	-100.0242
24.0625	-30.6099	-102.1226
24.375	-31.34371	-110.0806
24.6875	-32.12667	-112.533
