Frequency	Magnitude	Phase
0.3125	-76.53619	-21.436
0.625	-73.72652	-33.18872
0.9375	-72.88879	-61.61303
1.25	-72.20831	-66.18835
1.5625	-72.71578	-92.19251
1.875	-72.06141	-94.9735
2.1875	-72.76598	-98.33284
2.5	-72.18375	-109.5753
2.8125	-70.80213	-120.8535
3.125	-71.09302	-106.3819
3.4375	-70.65241	-114.3124
3.75	-72.94341	-118.6304
4.0625	-70.27998	-120.2828
4.375	-75.26654	-137.036
4.6875	-68.50105	-125.7355
5	-70.55623	-129.1586
5.3125	-72.07794	-132.4105
5.625	-71.3808	-106.7417
5.9375	-72.31957	-136.5571
6.25	-69.26945	-131.0786
6.5625	-73.63113	-156.7992
6.875	-72.23302	-143.0684
7.1875	-71.31076	-158.7717
7.5	-69.52185	-147.4602
7.8125	-70.11346	-175.6157
8.125	-71.55142	146.7202
8.4375	-68.35562	151.6463
8.75	-70.70663	149.3014
9.0625	-67.21759	128.9497
9.375	-70.63322	166.6781
9.6875	-67.60852	122.1717
10	-68.95854	108.9403
10.3125	-69.71201	104.3876
10.625	-65.70657	104.1772
10.9375	-67.43251	92.34883
11.25	-62.26158	88.3148
11.5625	-62.62468	96.77158
11.875	-62.77435	89.02612
12.1875	-60.26313	88.99632
12.5	-58.50872	66.96712
12.8125	-62.85728	71.57219
13.125	-59.21079	83.54459
13.4375	-58.62271	91.50603
13.75	-57.27581	86.59058
14.0625	-55.8449	87.43128
14.375	-55.06338	83.62548
14.6875	-53.7503	85.16317
15	-52.53256	86.10915
15.3125	-51.02034	83.63702
15.625	-50.15921	82.73289
15.9375	-48.89272	77.96143
16.25	-47.85798	77.11248
16.5625	-46.86258	68.95187
16.875	-46.88564	56.97515
17.1875	-48.42854	61.78903
17.5	-47.68392	72.64995
17.8125	-46.30794	78.47678
18.125	-45.18091	80.12249
18.4375	-43.47787	82.07388
18.75	-42.1922	84.37952
19.0625	-40.58295	83.71712
19.375	-39.20223	84.3227
19.6875	-37.68432	83.84609
20	-35.88712	82.6004
20.3125	-34.13802	79.98442
20.625	-32.05607	79.77833
20.9375	-30.05219	75.83482
21.25	-27.39395	73.64635
21.5625	-24.26899	67.96571
21.875	-20.27795	58.45736
22.1875	-14.02295	37.95448
22.5	-11.08575	-53.08381
22.8125	-18.78719	-78.72309
23.125	-22.32073	-85.08222
23.4375	-24.40501	-88.99215
23.75	-25.6803	-90.84621
24.0625	-27.09427	-95.82622
24.375	-27.81427	-96.9658
24.6875	-28.51526	-99.67326
25	-29.04497	-102.2536
25.3125	-29.33824	-105.4843
25.625	-29.58222	-108.8553
25.9375	-29.91302	-113.3271
26.25	-30.09022	-116.9001
26.5625	-30.49505	-125.4998
26.875	-31.21627	-130.6961
27.1875	-31.84638	-136.9808
27.5	-33.18166	-143.2357
27.8125	-34.7409	-143.4614
28.125	-36.3327	-142.1997
28.4375	-37.30088	-130.4227
28.75	-36.65453	-122.8906
29.0625	-35.85587	-119.3225
29.375	-34.5772	-118.3712
29.6875	-33.41603	-121.1633
30	-32.14137	-126.2811
30.3125	-30.70444	-134.4089
30.625	-29.21064	-148.145
30.9375	-27.75412	-177.4602
31.25	-32.01146	147.5026
31.5625	-38.17961	137.9337
31.875	-41.98234	-172.698
32.1875	-36.897	-169.8519
32.5	-36.43853	169.7083
32.8125	-38.50118	154.7334
33.125	-41.5042	150.1167
33.4375	-43.80461	156.8453
33.75	-45.6696	163.0442
34.0625	-46.05597	179.5062
34.375	-46.64009	176.2856
34.6875	-46.71112	-169.7383
35	-46.99507	-171.0614
35.3125	-47.30544	-164.2375
35.625	-47.56029	-160.7291
35.9375	-47.84352	-154.8532
36.25	-47.83044	-151.7969
36.5625	-47.72242	-148.4307
36.875	-47.74861	-144.0841
37.1875	-48.18502	-138.0807
37.5	-48.28468	-134.8072
37.8125	-47.35723	-135.5273
38.125	-47.07627	-132.951
38.4375	-47.46419	-126.5147
38.75	-46.80811	-121.3757
39.0625	-46.68747	-119.2606
39.375	-46.59084	-117.5217
39.6875	-45.93732	-113.857
40	-45.54663	-110.4862
40.3125	-44.35486	-109.8537
40.625	-42.50539	-108.7851
40.9375	-44.19471	-130.4723
41.25	-44.72924	-122.5602
41.5625	-44.64309	-114.7121
41.875	-44.35105	-115.6586
42.1875	-43.86071	-111.8232
42.5	-43.59582	-109.0865
42.8125	-43.4967	-109.8208
43.125	-43.53904	-109.2309
43.4375	-42.89059	-112.8747
43.75	-42.60465	-108.7483
44.0625	-41.96472	-111.9136
44.375	-41.58611	-114.5467
44.6875	-42.11799	-118.2931
45	-41.58118	-116.9864
45.3125	-41.83197	-118.3718
45.625	-41.73384	-120.0364
45.9375	-42.17373	-118.8767
46.25	-42.64658	-118.6317
46.5625	-42.95176	-113.3085
46.875	-42.97123	-110.7956
47.1875	-42.7354	-106.09
47.5	-43.01151	-104.3823
47.8125	-42.46904	-105.0998
48.125	-42.30224	-102.3693
48.4375	-42.03442	-103.615
48.75	-41.93556	-101.84
49.0625	-41.45807	-102.5366
49.375	-41.18424	-103.335
49.6875	-41.24576	-100.2704
50	-40.8471	-102.3176
50.3125	-40.74861	-102.4362
50.625	-40.55122	-100.2079
50.9375	-40.46951	-100.9926
51.25	-40.66737	-99.28934
51.5625	-40.12091	-99.86756
51.875	-40.53954	-99.31739
52.1875	-39.75244	-100.2062
52.5	-40.09029	-99.05008
52.8125	-39.7702	-96.53935
53.125	-39.56526	-98.6172
53.4375	-39.35611	-98.83492
53.75	-39.00167	-95.17503
54.0625	-39.02811	-96.84698
54.375	-38.77314	-96.96032
54.6875	-38.83901	-98.28681
55	-38.28313	-97.54853
55.3125	-38.25009	-96.44083
55.625	-38.26313	-96.31783
55.9375	-38.13309	-96.55519
56.25	-38.01705	-96.35623
56.5625	-37.70129	-97.38561
56.875	-37.58061	-97.84542
57.1875	-37.30602	-97.61479
57.5	-37.28118	-98.95705
57.8125	-37.10686	-99.19317
58.125	-36.84204	-98.18121
58.4375	-36.83133	-98.7279
58.75	-36.70803	-99.04048
59.0625	-36.48284	-100.0029
59.375	-36.45327	-101.2105
59.6875	-36.23218	-100.2912
60	-36.247	-102.485
60.3125	-36.38774	-102.7861
60.625	-36.06712	-102.12
60.9375	-36.33144	-103.1067
61.25	-36.29379	-102.4186
61.5625	-36.11962	-103.9126
