Source File Name:	Analyzer
Signal:	FFT - Vib Acceleration - Mag. [dB] & Phase
dB-Reference:	0 dB = 1 m/s²
Frequency	Magnitude	Phase
[ Hz ]	[ dB ]	[ ° ]
60.3125	-36.92936	-112.562
60.625	-36.7887	-115.353
60.9375	-36.7609	-114.9075
61.25	-36.87516	-113.0872
61.5625	-36.78189	-113.9255
61.875	-36.90995	-113.0907
62.1875	-36.85552	-113.2454
62.5	-36.72251	-110.8226
62.8125	-36.62387	-110.396
63.125	-36.45795	-111.1716
63.4375	-36.2784	-109.224
63.75	-36.42018	-110.6002
64.0625	-36.21909	-110.4556
64.375	-36.40071	-110.5274
64.6875	-36.41084	-109.0272
65	-36.19941	-107.6103
65.3125	-36.07987	-108.0793
65.625	-35.84604	-106.1589
65.9375	-35.55899	-105.6685
66.25	-35.33445	-106.154
66.5625	-35.38329	-105.5515
66.875	-35.08336	-103.8991
67.1875	-34.86485	-103.5302
67.5	-34.5255	-104.2215
67.8125	-34.2943	-105.4282
68.125	-34.42736	-104.7137
68.4375	-34.07117	-104.6365
68.75	-33.84232	-104.8906
69.0625	-33.77868	-104.253
69.375	-33.5828	-105.281
69.6875	-33.27781	-106.094
70	-33.17011	-106.5338
70.3125	-33.07019	-106.5953
70.625	-32.85038	-105.5744
70.9375	-32.71819	-107.8049
71.25	-32.50374	-106.6253
71.5625	-32.47996	-106.5023
71.875	-32.06092	-107.7008
72.1875	-31.91331	-107.0838
72.5	-31.70613	-107.1888
72.8125	-31.42691	-107.2524
73.125	-31.0791	-108.1682
73.4375	-30.82622	-108.3435
73.75	-30.52866	-110.5097
74.0625	-30.23226	-111.4025
74.375	-30.07262	-112.5745
74.6875	-29.83126	-114.2775
75	-29.62898	-114.8663
75.3125	-29.40852	-116.3169
75.625	-29.16006	-118.3244
75.9375	-28.96875	-119.6078
76.25	-28.80935	-121.0939
76.5625	-28.57892	-122.3798
76.875	-28.33344	-124.7564
77.1875	-28.29552	-126.617
77.5	-28.05442	-127.8345
77.8125	-27.76647	-130.7163
78.125	-27.68335	-132.8234
78.4375	-27.6512	-135.6497
78.75	-27.55246	-138.7647
79.0625	-27.58604	-141.2028
79.375	-27.92138	-144.3876
79.6875	-27.91799	-147.6688
80	-28.42889	-149.3139
80.3125	-28.59472	-149.4217
80.625	-28.93711	-149.6369
80.9375	-29.13824	-148.6813
81.25	-29.05107	-146.9415
81.5625	-29.11755	-145.579
81.875	-28.79862	-146.3025
82.1875	-28.62805	-146.7398
82.5	-28.47969	-147.8589
82.8125	-28.26471	-148.138
83.125	-28.11192	-149.9792
83.4375	-28.00101	-151.9346
83.75	-28.02068	-153.6472
84.0625	-27.79433	-155.994
84.375	-27.78085	-158.0291
84.6875	-27.80179	-160.1475
85	-27.73988	-164.6288
85.3125	-28.00858	-167.0957
85.625	-28.29039	-170.8269
85.9375	-28.72207	-173.0086
86.25	-29.33055	-175.0991
86.5625	-29.63353	-177.762
86.875	-30.54564	-179.5474
87.1875	-31.2919	179.5811
87.5	-32.37775	-179.6868
87.8125	-33.38888	-176.3211
88.125	-34.29091	-168.1994
88.4375	-34.57483	-162.0207
88.75	-34.53022	-156.5196
89.0625	-34.52558	-149.2821
89.375	-34.25167	-145.1869
89.6875	-33.83583	-142.1414
90	-33.47016	-139.9024
90.3125	-32.93414	-133.1425
90.625	-32.20835	-133.7867
90.9375	-31.6687	-133.5621
91.25	-31.40081	-134.6657
91.5625	-31.05362	-134.9389
91.875	-30.84254	-135.6784
92.1875	-30.67471	-136.1757
92.5	-30.28761	-137.7613
92.8125	-30.21255	-139.1077
93.125	-30.21301	-140.8672
93.4375	-30.3122	-142.4212
93.75	-30.31881	-142.8604
94.0625	-30.53181	-143.1052
94.375	-30.61412	-143.8532
94.6875	-30.91818	-143.1202
95	-30.90094	-144.0474
95.3125	-31.25605	-142.489
95.625	-31.26093	-143.7027
95.9375	-31.48306	-142.8277
96.25	-31.74429	-140.1085
96.5625	-32.05191	-138.6561
96.875	-32.182	-134.6622
97.1875	-31.66525	-131.2282
97.5	-31.19637	-130.2592
97.8125	-31.14697	-133.3406
98.125	-31.47367	-131.7582
98.4375	-31.35536	-130.2859
98.75	-31.04417	-128.6612
99.0625	-31.04176	-129.3832
99.375	-30.89118	-128.1109
99.6875	-31.13966	-128.4625
100	-30.92637	-126.268
100.3125	-30.83738	-127.0595
100.625	-30.83115	-127.5167
100.9375	-30.9957	-128.0813
101.25	-30.77611	-124.1401
101.5625	-30.87051	-123.6964
101.875	-30.65737	-124.2651
102.1875	-30.54868	-123.2349
102.5	-30.55522	-122.1835
102.8125	-30.49601	-121.1689
103.125	-30.1016	-120.7013
103.4375	-30.25441	-120.0253
103.75	-30.02333	-119.8233
104.0625	-29.99709	-120.3125
104.375	-29.95643	-119.4048
104.6875	-29.80079	-118.5662
105	-29.63653	-118.0123
105.3125	-29.51055	-117.4001
105.625	-29.58755	-116.0324
105.9375	-29.36345	-115.6964
106.25	-29.11169	-115.461
106.5625	-29.05785	-115.5518
106.875	-28.83461	-114.9861
107.1875	-28.69884	-115.3562
107.5	-28.51258	-114.5855
107.8125	-28.36783	-114.1549
108.125	-28.20766	-114.1088
108.4375	-28.09787	-113.5469
108.75	-28.04811	-113.9387
109.0625	-27.77468	-113.5605
109.375	-27.79049	-112.5208
109.6875	-27.52087	-113.0241
110	-27.41047	-112.8489
110.3125	-27.32519	-112.5123
110.625	-27.27312	-112.0128
110.9375	-27.06555	-111.6355
111.25	-26.98565	-111.6655
111.5625	-26.88074	-111.1147
111.875	-26.7202	-110.9107
112.1875	-26.84636	-110.2024
112.5	-26.73126	-108.816
112.8125	-26.61656	-108.1473
113.125	-26.52275	-107.0262
113.4375	-26.48424	-103.5589
113.75	-26.24502	-101.2408
114.0625	-25.9214	-97.51595
114.375	-25.12285	-93.55418
114.6875	-23.76507	-94.26307
115	-23.28547	-99.5759
115.3125	-23.15131	-101.5693
115.625	-23.18964	-102.8685
115.9375	-22.98658	-103.6078
116.25	-22.85307	-103.6269
116.5625	-22.68021	-103.6652
116.875	-22.50009	-104.0488
117.1875	-22.28236	-103.9695
117.5	-22.05197	-104.0498
117.8125	-21.87154	-104.4204
118.125	-21.65866	-104.2983
118.4375	-21.50837	-104.3605
118.75	-21.26419	-104.3853
119.0625	-21.09176	-104.6141
119.375	-20.92871	-104.4975
119.6875	-20.77915	-104.2685
120	-20.51508	-104.2058
120.3125	-20.40086	-104.9559
120.625	-20.23676	-104.5665
120.9375	-19.98729	-104.685
121.25	-19.89253	-104.8258
121.5625	-19.75217	-105.3208
121.875	-19.68267	-105.0776
122.1875	-19.48891	-103.1087
122.5	-19.14133	-102.8899
122.8125	-18.92251	-103.5854
123.125	-18.71308	-103.6855
123.4375	-18.56194	-104.0291
123.75	-18.44622	-103.9938
124.0625	-18.32531	-103.8129
124.375	-18.14832	-103.4317
124.6875	-18.00281	-102.9406
125	-17.78993	-102.2851
125.3125	-17.56064	-102.0464
125.625	-17.3655	-101.8506
125.9375	-17.13923	-101.8208
126.25	-16.94813	-101.5118
126.5625	-16.73597	-101.3233
126.875	-16.53571	-100.9796
127.1875	-16.30994	-101.2018
127.5	-16.1055	-100.6856
127.8125	-15.93181	-100.6882
128.125	-15.74087	-100.4151
128.4375	-15.53842	-100.1125
128.75	-15.34465	-99.96188
129.0625	-15.09967	-99.45528
129.375	-14.84286	-99.23026
129.6875	-14.64211	-99.01904
130	-14.40722	-98.46458
130.3125	-14.14729	-98.39351
130.625	-13.8693	-98.08601
130.9375	-13.59108	-97.83672
131.25	-13.31816	-97.78962
131.5625	-13.05541	-97.58533
131.875	-12.74818	-97.44472
132.1875	-12.46978	-97.49409
132.5	-12.18246	-97.50206
132.8125	-11.89069	-97.27464
133.125	-11.56719	-97.33707
133.4375	-11.2703	-97.30209
133.75	-10.9345	-97.24895
134.0625	-10.61805	-97.2751
134.375	-10.26577	-97.21537
134.6875	-9.929493	-97.42726
135	-9.552836	-97.36284
135.3125	-9.178527	-97.36536
135.625	-8.809254	-97.59936
135.9375	-8.421431	-97.78685
136.25	-8.007365	-97.845
136.5625	-7.585159	-97.92268
136.875	-7.144575	-98.25261
137.1875	-6.694345	-98.58969
137.5	-6.231777	-98.7366
137.8125	-5.749234	-99.04272
138.125	-5.240357	-99.37251
138.4375	-4.720291	-99.8183
138.75	-4.169407	-100.1709
139.0625	-3.591703	-100.6362
139.375	-3.002455	-101.2226
139.6875	-2.365358	-101.802
140	-1.692944	-102.4122
140.3125	-0.9818925	-103.0866
140.625	-0.2269832	-103.8625
140.9375	0.5910613	-104.6444
141.25	1.471206	-105.6723
141.5625	2.435818	-106.7611
141.875	3.499704	-108.002
142.1875	4.701456	-109.4454
142.5	6.060326	-111.3247
142.8125	7.634173	-113.7154
143.125	9.516095	-116.9692
143.4375	11.84654	-121.9756
143.75	14.8608	-130.3371
144.0625	18.93406	-148.0684
144.375	23.77165	165.4489
144.6875	18.16352	104.5151
145	13.40663	94.49649
145.3125	10.26386	90.66003
145.625	8.05009	89.07932
145.9375	6.329688	88.34169
146.25	4.927198	87.72376
146.5625	3.742931	87.40459
146.875	2.716762	87.21012
147.1875	1.814676	87.21214
147.5	1.022734	87.24557
147.8125	0.3260964	87.26821
148.125	-0.2994031	87.3344
148.4375	-0.8925471	87.44415
148.75	-1.424105	87.51125
149.0625	-1.91906	87.69536
149.375	-2.369799	87.71115
149.6875	-2.780939	87.74151
150	-3.173597	87.77517
150.3125	-3.536827	87.90987
150.625	-3.896121	88.14714
150.9375	-4.205861	88.19694
151.25	-4.514019	88.27993
151.5625	-4.789664	88.38132
151.875	-5.068665	88.46877
152.1875	-5.335989	88.52341
152.5	-5.560903	88.48495
152.8125	-5.80294	88.64417
153.125	-6.019726	88.61945
153.4375	-6.257916	88.60472
153.75	-6.453438	88.65153
154.0625	-6.692681	88.63498
154.375	-6.898232	89.0699
154.6875	-7.044731	89.12868
155	-7.210335	89.15248
155.3125	-7.419701	88.9769
155.625	-7.579975	89.1665
155.9375	-7.742422	89.14563
156.25	-7.898045	89.11026
156.5625	-8.048632	89.26414
156.875	-8.222705	89.28562
157.1875	-8.372305	89.4417
157.5	-8.520287	89.48744
157.8125	-8.656631	89.49564
158.125	-8.78487	89.66473
158.4375	-8.903826	89.73092
158.75	-9.019548	89.84687
159.0625	-9.143826	89.81241
159.375	-9.282545	89.84307
159.6875	-9.406294	89.88896
160	-9.509764	90.04145
160.3125	-9.623681	90.1645
160.625	-9.73115	90.09656
160.9375	-9.8181	90.00154
161.25	-9.91863	89.89622
161.5625	-10.07014	90.03675
161.875	-10.16544	90.06096
162.1875	-10.26111	90.16067
162.5	-10.34391	90.20791
162.8125	-10.45158	90.28542
163.125	-10.52587	90.32409
163.4375	-10.61702	90.36446
163.75	-10.69844	90.52808
164.0625	-10.77281	90.65446
164.375	-10.82399	90.54225
164.6875	-10.88409	90.17558
165	-10.95334	90.26595
165.3125	-10.98022	90.20972
165.625	-11.03796	90.11395
165.9375	-11.1014	89.67082
166.25	-11.166	88.81341
166.5625	-11.38081	87.40813
166.875	-12.06522	90.36314
167.1875	-11.17682	92.57005
167.5	-11.33136	88.25172
167.8125	-11.56808	88.70441
168.125	-11.67437	88.21461
168.4375	-11.79742	88.23897
168.75	-11.89238	88.23862
169.0625	-11.99889	88.37009
169.375	-12.07419	88.56388
169.6875	-12.13267	88.53387
170	-12.20848	88.71085
170.3125	-12.26426	88.57348
170.625	-12.3576	88.6147
170.9375	-12.40427	88.71653
171.25	-12.44236	88.83593
171.5625	-12.48288	89.01144
171.875	-12.51455	89.04442
172.1875	-12.58063	88.97168
172.5	-12.60004	89.14423
172.8125	-12.67289	89.11185
173.125	-12.66501	89.12856
173.4375	-12.70197	88.82877
173.75	-12.72147	88.86013
174.0625	-12.73601	88.68498
174.375	-12.80983	88.75343
174.6875	-12.82082	88.7728
175	-12.84951	88.4578
175.3125	-12.84431	88.55034
175.625	-12.89224	88.42838
175.9375	-12.91162	88.32639
176.25	-12.96971	88.06188
176.5625	-13.00009	87.59493
176.875	-13.11599	87.40795
177.1875	-13.25726	88.10544
177.5	-13.29709	88.64471
177.8125	-13.26235	89.36009
178.125	-13.1974	89.34924
178.4375	-13.20531	89.27618
178.75	-13.20813	89.29613
179.0625	-13.22581	89.28624
179.375	-13.2219	89.53054
179.6875	-13.21496	89.5703
180	-13.21347	89.58119
180.3125	-13.23637	89.51319
180.625	-13.21455	89.52284
180.9375	-13.21218	89.63651
181.25	-13.20948	89.30247
181.5625	-13.23752	89.60283
181.875	-13.25571	89.61425
182.1875	-13.22961	89.6757
182.5	-13.22392	89.5489
182.8125	-13.26396	89.64417
183.125	-13.24784	89.59923
183.4375	-13.29117	89.67465
183.75	-13.2635	89.71951
184.0625	-13.2817	89.73935
184.375	-13.27719	89.80077
184.6875	-13.26602	89.77904
185	-13.25556	89.93029
185.3125	-13.28382	90.0711
185.625	-13.26414	89.65937
185.9375	-13.30675	89.93666
186.25	-13.26068	89.72884
186.5625	-13.28874	89.84416
186.875	-13.28071	89.85831
187.1875	-13.32896	90.11514
187.5	-13.28588	89.88544
187.8125	-13.30607	89.74181
188.125	-13.31987	89.47018
188.4375	-13.32726	89.69296
