Frequency	Magnitude	Phase
0.3125	-77.67397	8.347771
0.625	-75.03056	-47.59824
0.9375	-74.61414	-65.2122
1.25	-71.23443	-90.37097
1.5625	-72.63358	-92.99508
1.875	-70.76112	-109.2947
2.1875	-68.91458	-110.7384
2.5	-69.95422	-108.1484
2.8125	-68.58041	-116.8354
3.125	-68.31161	-121.7287
3.4375	-68.6228	-117.2
3.75	-65.86877	-122.2489
4.0625	-67.02931	-128.5892
4.375	-68.17216	-127.549
4.6875	-65.8924	-129.2869
5	-65.60626	-122.94
5.3125	-64.06557	-125.6555
5.625	-64.24092	-127.1422
5.9375	-65.61307	-129.8683
6.25	-65.47507	-138.2146
6.5625	-65.05766	-142.896
6.875	-65.13923	-141.7668
7.1875	-64.8772	-134.0046
7.5	-63.19398	-146.3018
7.8125	-63.07343	-150.3098
8.125	-64.99996	-149.6641
8.4375	-64.05527	-149.6662
8.75	-63.25554	-162.5408
9.0625	-64.89468	-157.3559
9.375	-63.69494	-165.099
9.6875	-64.32547	-159.996
10	-63.88977	-161.9234
10.3125	-64.20112	-167.1219
10.625	-63.78361	-164.0671
10.9375	-64.99773	179.3174
11.25	-61.88488	174.255
11.5625	-61.8293	158.4883
11.875	-61.59202	155.7949
12.1875	-62.62636	142.3322
12.5	-64.03761	154.0336
12.8125	-61.77008	140.3429
13.125	-60.00382	151.3686
13.4375	-60.7518	136.9659
13.75	-59.31815	127.9225
14.0625	-57.85543	121.9225
14.375	-55.8614	119.1485
14.6875	-55.7692	117.6352
15	-53.77571	115.9863
15.3125	-53.50497	104.9705
15.625	-50.91713	95.73283
15.9375	-49.8589	92.23624
16.25	-48.43418	78.19807
16.5625	-47.38451	67.69506
16.875	-48.86528	46.40195
17.1875	-53.04085	47.55279
17.5	-51.69643	79.75558
17.8125	-48.83728	85.79092
18.125	-46.59952	86.33266
18.4375	-44.69712	86.34222
18.75	-42.68414	84.51647
19.0625	-40.68346	82.2342
19.375	-38.62761	80.03282
19.6875	-36.93843	77.77028
20	-34.43271	74.34013
20.3125	-32.13361	71.42583
20.625	-29.25864	67.42225
20.9375	-25.65065	60.70753
21.25	-20.78575	48.10709
21.5625	-13.55949	0.3594361
21.875	-18.6087	-62.63257
22.1875	-21.95826	-78.74558
22.5	-24.52842	-90.35902
22.8125	-26.52645	-97.01365
23.125	-27.98736	-100.6937
23.4375	-29.20388	-103.5363
23.75	-30.05524	-105.432
24.0625	-30.63969	-108.1607
24.375	-30.98368	-110.1488
24.6875	-31.34365	-112.4958
25	-31.59719	-115.7142
25.3125	-31.73587	-119.2001
25.625	-31.93813	-124.1804
25.9375	-32.02056	-129.1473
26.25	-32.20282	-135.6564
26.5625	-33.0968	-138.4138
26.875	-33.71917	-146.6745
27.1875	-34.87846	-151.7501
27.5	-36.1796	-155.2569
27.8125	-37.55953	-154.4008
28.125	-38.90903	-150.8644
28.4375	-39.22568	-142.8636
28.75	-39.18506	-133.7701
29.0625	-38.32388	-129.5261
29.375	-37.18841	-126.9608
29.6875	-35.62321	-129.5818
30	-34.24197	-138.1878
30.3125	-32.67631	-152.2669
30.625	-31.78759	177.8892
30.9375	-36.20437	143.8704
31.25	-42.20382	145.1406
31.5625	-46.38029	175.468
31.875	-43.46062	-162.3662
32.1875	-41.68272	178.8262
32.5	-44.32892	165.1375
32.8125	-47.29297	166.2314
33.125	-50.73384	179.7032
33.4375	-51.80962	-163.1264
33.75	-51.94864	-145.387
34.0625	-50.84821	-131.9869
34.375	-50.02063	-125.5624
34.6875	-49.8189	-115.1658
35	-48.82297	-112.4429
35.3125	-47.86846	-113.9043
35.625	-47.05613	-108.9883
35.9375	-46.914	-114.2133
36.25	-46.92332	-106.618
36.5625	-46.43967	-105.9307
36.875	-45.92762	-103.9352
37.1875	-46.03252	-106.6319
37.5	-45.26897	-103.4222
37.8125	-45.43924	-104.3015
38.125	-44.95924	-101.6247
38.4375	-44.89143	-104.7482
38.75	-44.4484	-101.1664
39.0625	-44.58841	-101.3363
39.375	-44.22363	-101.4561
39.6875	-44.56425	-98.80562
40	-43.77472	-97.74812
40.3125	-43.05201	-97.09651
40.625	-41.92574	-98.64507
40.9375	-43.20648	-112.7301
41.25	-43.14172	-105.8485
41.5625	-43.25694	-103.1309
41.875	-43.16569	-100.5126
42.1875	-42.78744	-101.6789
42.5	-42.57354	-100.8325
42.8125	-42.34481	-101.5422
43.125	-42.02059	-100.4827
43.4375	-41.96022	-102.2513
43.75	-41.93264	-103.9192
44.0625	-41.7419	-103.6389
44.375	-41.7448	-103.4344
44.6875	-42.24018	-106.5921
45	-41.91627	-105.9326
45.3125	-42.06479	-107.3141
45.625	-42.00159	-108.0179
45.9375	-42.60815	-105.6747
46.25	-42.34987	-104.6611
46.5625	-41.70775	-104.4082
46.875	-41.95065	-101.9964
47.1875	-41.61541	-100.6276
47.5	-41.62031	-101.6193
47.8125	-41.39616	-99.91985
48.125	-41.13266	-100.3011
48.4375	-40.78768	-99.10019
48.75	-41.07702	-98.57636
49.0625	-40.53694	-101.6021
49.375	-40.42646	-100.3928
49.6875	-40.52122	-100.5287
50	-40.14996	-100.0418
50.3125	-40.27801	-100.6517
50.625	-39.81383	-100.3379
50.9375	-39.75298	-100.8614
51.25	-39.8959	-100.7234
51.5625	-39.43125	-100.3189
51.875	-39.54838	-101.0126
52.1875	-39.60169	-102.8539
52.5	-39.01971	-100.4104
52.8125	-38.99385	-99.37897
53.125	-38.85735	-100.7465
53.4375	-38.7823	-100.835
53.75	-38.78049	-99.74156
54.0625	-38.20814	-101.7424
54.375	-38.17498	-100.0679
54.6875	-38.19532	-98.64384
55	-38.04892	-101.2704
55.3125	-38.04525	-99.95273
55.625	-37.58352	-100.0985
55.9375	-37.53615	-98.91598
56.25	-37.3723	-101.6981
56.5625	-37.41927	-100.8203
56.875	-36.904	-102.1603
57.1875	-37.09247	-101.0159
57.5	-36.99657	-100.5153
57.8125	-36.93259	-101.9583
58.125	-36.66637	-103.4425
