Frequency	Magnitude	Phase
0.3125	-80.56024	-62.28264
0.625	-77.19699	-117.6443
0.9375	-73.35513	-100.1525
1.25	-72.58159	-127.9744
1.5625	-69.60609	-137.4724
1.875	-70.19265	-96.46638
2.1875	-68.54794	-126.7122
2.5	-68.66885	-120.9128
2.8125	-67.42395	-113.2262
3.125	-65.39802	-132.6933
3.4375	-63.98367	-114.9792
3.75	-65.61815	-130.5273
4.0625	-65.28542	-123.1206
4.375	-64.62212	-122.3702
4.6875	-64.04159	-140.4501
5	-62.48833	-132.9198
5.3125	-64.10896	-120.7025
5.625	-65.08852	-142.6556
5.9375	-65.04029	-126.3144
6.25	-63.18393	-146.6221
6.5625	-64.12531	-116.5856
6.875	-64.05066	-143.5626
7.1875	-61.71147	-133.4462
7.5	-64.01567	-139.5898
7.8125	-63.08436	-142.5833
8.125	-65.31739	-159.0672
8.4375	-63.98339	-160.1157
8.75	-61.21159	-142.189
9.0625	-61.59739	-163.4689
9.375	-62.3862	-150.0515
9.6875	-62.3025	-158.3094
10	-62.88211	-166.1316
10.3125	-60.08259	-159.4421
10.625	-62.0285	-158.2427
10.9375	-59.75376	-168.1336
11.25	-60.11713	-159.1336
11.5625	-61.20947	167.9648
11.875	-62.48535	-172.9873
12.1875	-60.71293	171.2331
12.5	-64.32988	159.9394
12.8125	-60.09272	156.7942
13.125	-62.48336	178.1165
13.4375	-59.91331	145.8447
13.75	-59.43195	154.6919
14.0625	-56.89062	125.708
14.375	-57.87011	134.2191
14.6875	-57.94793	144.4395
15	-56.5499	109.9283
15.3125	-55.01284	116.5271
15.625	-53.99625	100.3096
15.9375	-51.39156	99.6883
16.25	-51.7668	94.86275
16.5625	-48.31122	84.71116
16.875	-48.68211	63.71732
17.1875	-49.94141	51.57319
17.5	-53.96006	66.95998
17.8125	-51.83597	85.69941
18.125	-48.78143	89.62555
18.4375	-46.76796	82.07847
18.75	-44.86286	90.34804
19.0625	-42.70621	89.34993
19.375	-40.44446	83.22923
19.6875	-37.95205	81.91761
20	-35.36494	76.37345
20.3125	-33.04562	63.99424
20.625	-30.91344	55.26883
20.9375	-28.79561	41.40519
21.25	-26.80056	24.65649
21.5625	-25.00451	11.19258
21.875	-23.37915	-14.34987
22.1875	-21.97894	-36.81754
22.5	-23.12696	-76.91994
22.8125	-26.67096	-95.68363
23.125	-29.58599	-98.96194
23.4375	-31.42306	-93.72722
23.75	-31.52429	-95.54471
24.0625	-32.02748	-97.42834
24.375	-32.56604	-103.0523
24.6875	-32.71847	-105.1969
25	-33.24908	-106.0942
25.3125	-32.85811	-110.2511
25.625	-32.84465	-113.8145
25.9375	-33.04026	-116.9142
26.25	-33.03831	-126.3124
26.5625	-32.8396	-131.7332
26.875	-33.3992	-142.0884
27.1875	-34.18771	-151.571
27.5	-35.77325	-155.2974
27.8125	-37.81384	-159.3103
28.125	-38.75444	-154.0049
