Frequency	Magnitude	Phase
0.3125	-80.72876	-30.97527
0.625	-76.31014	-60.71856
0.9375	-77.57591	-78.67292
1.25	-74.35738	-87.00146
1.5625	-73.69724	-95.74605
1.875	-71.01077	-102.5837
2.1875	-70.31452	-100.2391
2.5	-69.86913	-113.5909
2.8125	-70.01657	-103.9756
3.125	-67.99844	-110.7305
3.4375	-69.18796	-122.5239
3.75	-67.26395	-118.8719
4.0625	-66.64788	-120.4761
4.375	-67.30203	-123.7399
4.6875	-65.95574	-125.9126
5	-64.99483	-129.7505
5.3125	-64.68017	-124.7068
5.625	-66.11253	-127.1204
5.9375	-65.82277	-145.3009
6.25	-65.17875	-138.1331
6.5625	-64.53654	-142.2644
6.875	-64.41853	-132.673
7.1875	-63.94484	-138.1234
7.5	-63.43663	-151.0971
7.8125	-63.9603	-140.3415
8.125	-65.10627	-142.4296
8.4375	-64.98946	-152.4033
8.75	-63.9914	-164.3387
9.0625	-64.51566	-150.2844
9.375	-65.34927	-158.9206
9.6875	-63.52214	-165.4788
10	-63.29516	-171.3362
10.3125	-63.60383	-170.1952
10.625	-63.89585	-172.552
10.9375	-63.94897	178.309
11.25	-64.35564	167.0404
11.5625	-62.86063	178.6435
11.875	-63.39365	167.7701
12.1875	-64.01366	160.4621
12.5	-65.02115	148.3527
12.8125	-62.14558	151.5276
13.125	-61.33068	142.6826
13.4375	-59.88408	145.8512
13.75	-60.68238	145.2195
14.0625	-59.35053	123.2284
14.375	-57.69836	130.7881
14.6875	-57.71563	122.4796
15	-55.30342	110.2527
15.3125	-55.51858	112.1859
15.625	-52.63689	106.6645
15.9375	-52.50838	95.42849
16.25	-50.05768	89.48459
16.5625	-49.45698	74.9371
16.875	-49.33755	58.50932
17.1875	-54.06311	54.2338
17.5	-53.69736	85.09986
17.8125	-50.89567	86.87323
18.125	-48.6792	92.75349
18.4375	-47.00344	93.19798
18.75	-45.33842	91.35842
19.0625	-43.00836	90.46189
19.375	-41.07141	86.54444
19.6875	-39.27472	85.54872
20	-37.27061	81.92776
20.3125	-34.69462	80.09599
20.625	-32.13131	76.0578
20.9375	-28.86923	73.17437
21.25	-24.20492	61.21694
21.5625	-18.23518	35.77209
21.875	-15.73843	-41.94753
22.1875	-22.09085	-79.98038
22.5	-26.10625	-85.90815
22.8125	-27.96893	-90.18957
23.125	-29.24559	-93.96398
23.4375	-30.81593	-98.36005
23.75	-31.5211	-100.4232
24.0625	-32.54535	-102.7672
24.375	-32.95543	-104.9343
24.6875	-33.37655	-106.8281
25	-33.3318	-110.104
25.3125	-33.61622	-112.507
25.625	-33.70703	-116.6082
25.9375	-33.80675	-122.3916
26.25	-34.18109	-129.3154
26.5625	-33.78013	-137.7128
26.875	-34.971	-142.615
27.1875	-35.71288	-146.4368
27.5	-36.80807	-151.1489
27.8125	-37.92084	-151.5547
28.125	-39.09885	-151.764
