Frequency	Magnitude	Phase
0.3125	-73.8453	-48.02187
0.625	-69.78832	-62.49862
0.9375	-70.97873	-75.78717
1.25	-71.16381	-97.79729
1.5625	-69.3772	-93.57524
1.875	-68.88421	-111.3839
2.1875	-67.11472	-117.3685
2.5	-66.80021	-118.084
2.8125	-65.87398	-117.1324
3.125	-67.41579	-124.0424
3.4375	-66.53174	-130.8253
3.75	-64.49171	-131.7594
4.0625	-63.68499	-135.7096
4.375	-62.93427	-125.4954
4.6875	-63.22345	-127.9645
5	-65.55443	-128.6166
5.3125	-64.75665	-140.8302
5.625	-62.32556	-137.2449
5.9375	-61.37673	-140.8766
6.25	-60.76482	-127.9379
6.5625	-63.11653	-121.3387
6.875	-63.94814	-141.4817
7.1875	-61.86658	-150.7847
7.5	-59.59887	-142.4769
7.8125	-59.60014	-126.0425
8.125	-59.54508	-115.0327
8.4375	-61.93681	-113.8604
8.75	-61.84236	-164.9918
9.0625	-60.51348	-158.8405
9.375	-59.64585	-145.3197
9.6875	-59.48673	-119.545
10	-58.2801	162.7588
10.3125	-57.03368	144.5253
10.625	-56.47738	167.0391
10.9375	-57.37288	-165.9908
11.25	-57.74256	-135.1573
11.5625	-57.94461	-79.69717
11.875	-55.85816	86.01671
12.1875	-54.89342	123.3641
12.5	-56.57171	144.3975
12.8125	-58.39562	-154.4343
13.125	-60.37519	-145.031
13.4375	-58.84684	110.5209
13.75	-55.59374	115.4061
14.0625	-55.68868	129.6964
14.375	-56.90537	135.0441
14.6875	-56.90109	140.4771
15	-56.78578	131.3536
15.3125	-56.64547	122.4793
15.625	-55.25921	103.3203
15.9375	-52.85416	92.24555
16.25	-51.50112	96.16879
16.5625	-52.48949	83.23421
16.875	-55.35439	63.04916
17.1875	-56.02515	89.46155
17.5	-53.98537	113.3399
17.8125	-52.89607	107.3945
18.125	-50.32143	69.9307
18.4375	-46.13823	75.0352
18.75	-44.31352	86.69585
19.0625	-43.49348	94.73844
19.375	-43.3718	81.92428
19.6875	-40.26132	73.52129
20	-37.33728	73.97259
20.3125	-35.06749	75.93626
20.625	-32.95559	74.4435
20.9375	-30.31133	70.3857
21.25	-27.05552	64.48383
21.5625	-22.65741	52.16567
21.875	-15.88889	17.2256
22.1875	-17.09126	-46.92059
22.5	-20.64037	-74.1542
22.8125	-23.74743	-91.97604
23.125	-25.86607	-99.50768
23.4375	-27.57556	-101.4389
23.75	-29.65554	-103.47
24.0625	-31.09566	-109.5333
24.375	-31.15756	-113.5945
24.6875	-30.92414	-111.3683
25	-31.46557	-108.6891
25.3125	-32.33332	-112.3309
25.625	-32.24204	-119.4758
25.9375	-31.68257	-122.559
26.25	-32.04758	-124.9244
26.5625	-32.90075	-130.7943
26.875	-34.15685	-142.7503
27.1875	-34.92464	-153.7038
27.5	-36.6576	-156.5854
27.8125	-38.35476	-152.7814
28.125	-39.15855	-141.6851
28.4375	-39.08958	-128.8383
28.75	-39.59226	-123.4062
29.0625	-39.01511	-123.1917
29.375	-36.77527	-122.9094
29.6875	-34.68129	-119.4923
30	-33.7319	-122.0329
30.3125	-33.25857	-135.5591
30.625	-30.76629	-153.2706
30.9375	-29.52131	171.2033
31.25	-36.65117	153.6057
31.5625	-42.92796	170.9452
31.875	-41.81194	-169.2249
32.1875	-37.60906	-177.7488
32.5	-36.93413	164.1559
32.8125	-39.86127	152.3829
33.125	-43.55734	152.6075
33.4375	-46.9701	156.422
33.75	-50.86916	156.3033
34.0625	-50.45979	157.8909
34.375	-48.59081	177.7194
34.6875	-47.5418	-150.3694
35	-48.45274	-125.0294
35.3125	-49.65533	-119.7237
35.625	-53.44944	-143.5578
35.9375	-49.34181	-142.2923
36.25	-47.4701	-125.3385
36.5625	-48.02436	-110.3701
36.875	-50.00012	-116.5775
37.1875	-50.22162	-142.7619
37.5	-48.03507	-135.7333
37.8125	-46.70786	-126.2129
38.125	-46.83965	-119.4454
38.4375	-46.77117	-113.2324
38.75	-47.46228	-116.0781
39.0625	-47.61412	-116.5392
39.375	-46.70431	-121.3307
39.6875	-45.00714	-116.8208
40	-44.69549	-109.2425
40.3125	-45.29632	-100.9144
40.625	-44.45712	-114.2288
40.9375	-43.94714	-142.7331
41.25	-43.44775	-128.4552
41.5625	-43.43415	-113.6549
41.875	-44.12774	-108.9654
42.1875	-44.80661	-115.9704
42.5	-43.90339	-111.4832
42.8125	-43.13599	-107.4466
43.125	-43.04643	-108.6042
43.4375	-44.08189	-107.0536
43.75	-43.25397	-111.2526
44.0625	-42.61875	-115.099
44.375	-42.48459	-124.0429
44.6875	-41.99091	-123.6345
45	-42.14008	-122.9921
45.3125	-42.7906	-122.617
45.625	-43.27508	-126.0327
45.9375	-43.09915	-131.0215
46.25	-43.30923	-127.963
46.5625	-43.4286	-114.7203
46.875	-44.24937	-110.9518
47.1875	-44.31204	-112.7864
47.5	-43.4263	-112.8525
47.8125	-43.11702	-108.9036
48.125	-42.40454	-106.1933
48.4375	-42.99756	-107.4657
48.75	-42.35645	-111.7149
49.0625	-41.71376	-107.0084
49.375	-42.08924	-103.8801
49.6875	-42.04388	-106.1599
50	-41.40062	-107.3454
50.3125	-41.79399	-106.8475
50.625	-41.45944	-107.7599
50.9375	-41.1084	-108.1936
51.25	-40.7052	-106.474
51.5625	-40.57988	-104.4895
51.875	-40.91268	-102.2312
52.1875	-40.77808	-104.6299
52.5	-40.68439	-105.7833
52.8125	-40.07304	-103.5084
53.125	-39.99091	-101.3029
53.4375	-40.1895	-101.5873
53.75	-40.15629	-103.9443
54.0625	-39.60392	-104.0122
54.375	-39.53427	-103.9217
54.6875	-39.46967	-102.7777
