Frequency	Magnitude	Phase
0.3125	-80.35278	-31.98118
0.625	-77.39937	-76.39979
0.9375	-73.40137	-88.56897
1.25	-72.0118	-100.8228
1.5625	-70.33909	-99.95676
1.875	-69.72114	-102.343
2.1875	-70.62711	-110.7804
2.5	-67.7748	-123.4643
2.8125	-66.45177	-122.5721
3.125	-67.14143	-118.6455
3.4375	-67.31304	-125.232
3.75	-64.9136	-128.5016
4.0625	-65.00415	-126.4521
4.375	-64.08508	-125.633
4.6875	-63.97022	-124.7291
5	-63.56535	-129.5374
5.3125	-63.99613	-129.6971
5.625	-63.26998	-135.6354
5.9375	-63.07941	-130.485
6.25	-62.70893	-140.5141
6.5625	-63.053	-145.0297
6.875	-62.88292	-146.2118
7.1875	-61.50178	-138.1565
7.5	-62.55939	-143.4561
7.8125	-63.44052	-146.6689
8.125	-62.87039	-147.0511
8.4375	-61.60412	-146.1512
8.75	-61.98176	-155.7676
9.0625	-62.27648	-157.0503
9.375	-62.9489	-160.1433
9.6875	-62.37324	-162.4747
10	-61.67572	-166.3836
10.3125	-62.5185	-172.2802
10.625	-62.36138	-162.5892
10.9375	-62.93441	-172.2
11.25	-60.9503	-174.1756
11.5625	-61.02913	176.1582
11.875	-61.52213	176.3135
12.1875	-62.32403	163.5412
12.5	-62.35594	171.1755
12.8125	-61.16089	169.4919
13.125	-60.66165	152.7231
13.4375	-59.83273	150.4442
13.75	-59.95667	152.5672
14.0625	-58.75106	140.6067
14.375	-59.22699	137.8907
14.6875	-57.51591	125.8585
15	-55.97932	122.3804
15.3125	-54.93467	115.0791
15.625	-53.76155	107.7173
15.9375	-52.21776	105.5354
16.25	-51.00844	94.50788
16.5625	-49.98946	82.39013
16.875	-50.84797	62.59421
17.1875	-53.94434	49.68269
17.5	-54.96033	86.15474
17.8125	-52.15984	93.22243
18.125	-49.61621	93.6374
18.4375	-47.52328	92.06178
18.75	-45.81831	94.98533
19.0625	-44.09746	90.44063
19.375	-41.75312	88.81389
19.6875	-40.08257	86.79365
20	-38.0946	82.78454
20.3125	-35.80317	79.11915
20.625	-32.93061	77.26004
20.9375	-29.73666	72.22933
21.25	-25.77246	64.42915
21.5625	-19.4716	43.43446
21.875	-16.7716	-23.50745
22.1875	-20.46574	-65.31549
22.5	-23.95864	-86.13454
22.8125	-27.41316	-95.54526
23.125	-29.50718	-95.65588
23.4375	-30.46993	-97.78733
23.75	-31.39874	-101.7104
24.0625	-32.35424	-103.5986
24.375	-32.77956	-105.3984
24.6875	-33.14701	-107.5927
25	-33.33173	-111.357
25.3125	-33.43745	-113.8577
25.625	-33.6021	-117.9328
25.9375	-33.6879	-123.694
26.25	-34.14657	-129.4383
26.5625	-33.97454	-135.5936
26.875	-35.01467	-142.707
27.1875	-35.89214	-147.7848
27.5	-36.65742	-150.1161
27.8125	-37.82016	-152.0791
28.125	-38.9049	-151.8543
28.4375	-39.47385	-148.024
28.75	-40.05841	-144.1686
29.0625	-39.79189	-136.341
29.375	-38.83125	-133.2091
29.6875	-37.1078	-134.1991
30	-35.28975	-142.7318
30.3125	-33.868	-158.737
30.625	-33.2009	173.9475
30.9375	-36.36864	144.6056
31.25	-40.7173	129.9419
31.5625	-46.56424	129.2814
31.875	-48.14716	-177.7103
32.1875	-44.3625	173.8865
32.5	-45.46837	158.1075
32.8125	-48.08677	148.7713
33.125	-51.52047	158.7055
33.4375	-55.13461	172.8619
33.75	-55.36812	-165.7048
34.0625	-55.63898	-164.6396
34.375	-54.50955	-154.3139
34.6875	-53.20381	-133.6741
35	-52.78428	-128.1629
35.3125	-51.60995	-121.9903
35.625	-52.11358	-114.9459
35.9375	-51.09212	-114.0183
36.25	-50.84572	-109.2996
36.5625	-49.25625	-106.442
36.875	-49.54649	-108.2583
37.1875	-49.47249	-105.7472
37.5	-48.81074	-109.3755
37.8125	-48.59907	-105.7639
38.125	-48.27229	-109.0251
38.4375	-48.16159	-108.2042
38.75	-48.41205	-102.0938
39.0625	-47.5546	-102.2695
39.375	-47.22298	-103.7055
39.6875	-46.98671	-101.4802
40	-46.44038	-102.5478
40.3125	-45.9342	-95.5041
40.625	-44.29717	-104.0627
40.9375	-45.22955	-113.3556
41.25	-45.39603	-111.3592
41.5625	-45.1817	-108.3723
41.875	-45.10542	-106.1867
42.1875	-45.69395	-108.0153
42.5	-44.91743	-106.0112
42.8125	-45.46427	-106.7172
43.125	-44.63194	-107.5798
43.4375	-44.54741	-111.8666
43.75	-44.72038	-114.5877
44.0625	-45.36988	-115.7992
44.375	-46.03454	-103.0856
44.6875	-44.11737	-99.02695
45	-43.7757	-105.888
45.3125	-43.75957	-110.9078
45.625	-44.07272	-107.5871
45.9375	-44.33758	-109.1542
46.25	-43.60693	-108.5832
46.5625	-44.13244	-109.1333
46.875	-43.78841	-106.1708
47.1875	-43.74069	-104.3893
47.5	-43.76373	-106.5516
47.8125	-43.35285	-105.0715
48.125	-43.3807	-103.6248
48.4375	-42.95713	-104.1707
48.75	-43.00774	-104.2416
49.0625	-42.8458	-105.0665
49.375	-42.75614	-103.5508
49.6875	-42.84849	-103.014
50	-42.47371	-102.9304
50.3125	-42.62	-101.9296
50.625	-42.14613	-103.2988
50.9375	-42.30224	-103.9743
51.25	-41.99391	-103.59
51.5625	-41.84334	-102.0591
51.875	-41.73046	-101.7338
52.1875	-41.74126	-103.9296
52.5	-42.07435	-101.5729
52.8125	-41.55195	-102.0662
53.125	-41.34698	-101.4689
53.4375	-41.09354	-101.7967
53.75	-40.89806	-102.2817
54.0625	-41.04928	-104.6683
54.375	-41.12724	-103.5434
54.6875	-40.8332	-105.7199
55	-40.40223	-105.3484
55.3125	-40.52369	-104.4776
55.625	-40.2234	-104.3392
55.9375	-39.99589	-103.1868
56.25	-39.92741	-104.5187
56.5625	-39.76567	-103.2315
56.875	-39.6516	-103.3923
57.1875	-39.21344	-102.7648
57.5	-39.40718	-103.2294
57.8125	-39.30249	-102.5829
58.125	-39.14774	-105.0866
58.4375	-39.09676	-103.5969
58.75	-39.07854	-106.1513
59.0625	-38.56678	-107.8936
59.375	-38.63925	-105.9347
59.6875	-38.56453	-106.7876
60	-38.64908	-107.5061
60.3125	-38.46646	-106.7158
60.625	-38.75459	-106.1794
60.9375	-38.56155	-107.098
61.25	-38.54915	-107.0104
61.5625	-38.51532	-105.9499
61.875	-38.35865	-106.4885
62.1875	-38.32129	-107.6524
62.5	-37.99751	-106.102
62.8125	-37.93078	-105.7203
63.125	-37.65934	-102.4328
63.4375	-37.49869	-104.5026
63.75	-37.45802	-105.1216
64.0625	-37.59315	-106.2135
64.375	-37.27611	-105.3696
64.6875	-37.25559	-108.4747
65	-36.84755	-105.501
65.3125	-36.87201	-105.2019
65.625	-36.85722	-104.8582
65.9375	-36.69512	-104.2129
66.25	-36.65602	-103.8577
66.5625	-36.36327	-104.2367
66.875	-36.16228	-107.1805
67.1875	-36.31955	-106.198
67.5	-36.17262	-105.3182
67.8125	-35.96801	-104.7557
68.125	-35.86169	-104.8919
68.4375	-35.84723	-104.9995
68.75	-35.54439	-105.2785
69.0625	-35.31916	-105.5542
69.375	-35.2375	-105.0471
69.6875	-35.01297	-105.3996
70	-34.98647	-106.6688
70.3125	-34.89908	-108.1771
70.625	-34.80698	-106.4658
70.9375	-34.79997	-105.6357
71.25	-34.54635	-105.5801
71.5625	-34.32281	-104.1476
71.875	-34.07195	-105.446
72.1875	-33.98663	-104.6904
72.5	-33.96275	-105.9515
72.8125	-33.61728	-105.4419
73.125	-33.50887	-105.0427
73.4375	-33.34728	-105.2456
73.75	-33.01363	-104.7166
74.0625	-32.85319	-105.8501
74.375	-32.5442	-105.2871
74.6875	-32.30437	-106.4589
75	-32.31809	-106.6841
75.3125	-31.81182	-107.3254
75.625	-31.60565	-107.5408
75.9375	-31.44006	-107.7994
76.25	-31.03894	-109.0569
76.5625	-30.91449	-108.5458
76.875	-30.68472	-109.5917
77.1875	-30.44722	-111.0167
77.5	-30.17336	-111.4013
77.8125	-30.03729	-112.1156
78.125	-29.75763	-112.6195
78.4375	-29.53132	-114.8463
78.75	-29.17381	-116.359
79.0625	-28.87528	-117.392
79.375	-28.615	-119.1349
79.6875	-28.40343	-120.7605
80	-28.31525	-123.1178
80.3125	-28.17043	-125.0917
80.625	-28.00912	-127.7739
80.9375	-27.94158	-130.299
81.25	-27.91902	-132.5629
81.5625	-27.92671	-134.6364
81.875	-27.96785	-136.0546
82.1875	-27.96004	-137.4344
82.5	-28.0187	-138.8224
82.8125	-27.95655	-139.7802
83.125	-27.7893	-141.2346
83.4375	-27.59677	-142.8857
83.75	-27.38143	-145.0029
84.0625	-27.17697	-146.8738
84.375	-27.05079	-150.1541
84.6875	-26.9012	-153.7456
85	-26.86536	-157.876
85.3125	-26.85159	-162.1751
85.625	-27.03068	-167.3856
85.9375	-27.39331	-172.6512
86.25	-27.95666	-178.0861
86.5625	-28.69008	176.8844
86.875	-29.52036	172.7836
87.1875	-30.5281	170.8514
87.5	-31.82959	169.3801
87.8125	-32.9858	169.6834
88.125	-34.10682	172.1589
88.4375	-35.11179	175.7338
88.75	-35.78515	179.4045
89.0625	-36.38166	-175.3088
89.375	-36.82911	-168.5723
89.6875	-37.30248	-164.3932
90	-38.00906	-151.7905
90.3125	-37.61524	-148.7837
90.625	-36.83742	-141.2316
90.9375	-36.27965	-139.074
91.25	-35.99707	-137.3283
91.5625	-35.4951	-134.042
91.875	-35.00611	-130.5626
92.1875	-34.65076	-130.7785
92.5	-34.25176	-131.1613
92.8125	-33.68161	-131.3423
93.125	-33.30154	-130.7533
93.4375	-33.05629	-133.2586
93.75	-33.03566	-136.1445
94.0625	-33.28197	-135.4811
94.375	-33.1895	-134.814
94.6875	-33.31507	-135.8745
95	-33.03416	-135.0222
95.3125	-33.39288	-135.7036
95.625	-33.63211	-135.6528
95.9375	-33.78548	-136.0228
96.25	-33.89012	-134.536
96.5625	-33.78418	-133.0469
96.875	-34.3369	-129.9751
97.1875	-34.2149	-129.9306
97.5	-34.17649	-125.8525
97.8125	-33.76247	-122.2371
98.125	-33.73727	-119.6499
98.4375	-33.62243	-118.9316
98.75	-33.34723	-117.731
99.0625	-33.2957	-114.9258
99.375	-32.9176	-113.3083
99.6875	-32.76401	-111.2971
100	-32.56794	-110.4221
100.3125	-32.20972	-109.2624
100.625	-31.93103	-109.4931
100.9375	-31.74118	-108.2949
101.25	-31.59804	-107.8017
101.5625	-31.19404	-107.0633
101.875	-30.90582	-106.3935
102.1875	-30.63072	-106.1198
102.5	-30.33913	-106.927
102.8125	-30.27911	-105.302
103.125	-29.85276	-105.5059
103.4375	-29.78441	-105.4059
103.75	-29.50137	-103.291
104.0625	-29.37244	-104.0034
104.375	-29.16351	-103.8408
104.6875	-28.83758	-103.7565
105	-28.56689	-103.3019
105.3125	-28.40498	-103.1132
105.625	-28.15416	-103.8612
105.9375	-27.94376	-104.07
106.25	-27.70161	-103.0333
106.5625	-27.47797	-103.1989
106.875	-27.35597	-102.9153
107.1875	-27.22535	-102.9576
107.5	-26.92349	-102.7952
107.8125	-26.66168	-102.9662
108.125	-26.39148	-102.0559
108.4375	-26.15422	-102.3938
108.75	-25.97275	-103.4639
109.0625	-25.82112	-104.0835
109.375	-25.69108	-104.3494
109.6875	-25.45906	-104.1436
110	-25.26938	-104.801
110.3125	-25.13398	-105.1923
110.625	-24.89462	-105.3083
110.9375	-24.76698	-104.9609
111.25	-24.53165	-106.1718
111.5625	-24.48896	-107.1619
111.875	-24.36198	-107.0028
112.1875	-24.26702	-107.864
112.5	-24.14375	-108.5011
112.8125	-24.04371	-109.1037
113.125	-23.99512	-109.8074
113.4375	-24.10979	-110.0386
113.75	-24.06301	-109.9638
114.0625	-24.20242	-109.5409
114.375	-24.33544	-108.4739
114.6875	-24.41761	-105.8323
115	-24.39502	-101.6636
115.3125	-23.78624	-96.57754
115.625	-22.52272	-95.66716
115.9375	-21.8494	-100.7698
116.25	-21.70423	-104.7416
116.5625	-21.73733	-106.6863
116.875	-21.88727	-108.1718
117.1875	-22.04222	-107.8148
117.5	-22.11515	-104.8318
117.8125	-21.77728	-103.439
118.125	-21.4885	-103.7032
118.4375	-21.3322	-104.0358
118.75	-21.1941	-104.3668
119.0625	-21.03446	-104.2931
119.375	-20.85324	-103.7888
119.6875	-20.71849	-103.2904
120	-20.61678	-102.9712
120.3125	-20.40766	-102.4521
120.625	-20.22737	-102.111
120.9375	-19.95629	-101.4496
121.25	-19.72177	-101.2143
121.5625	-19.47652	-101.3729
121.875	-19.2855	-101.0641
122.1875	-19.01424	-100.6217
122.5	-18.79914	-100.6689
122.8125	-18.56413	-100.7688
123.125	-18.35168	-100.6484
123.4375	-18.11895	-100.2506
123.75	-17.93883	-99.86884
124.0625	-17.6988	-100.0559
124.375	-17.48985	-99.80772
124.6875	-17.25182	-99.15001
125	-16.95889	-98.665
125.3125	-16.68831	-98.20673
125.625	-16.36776	-98.02888
125.9375	-16.05661	-97.57328
126.25	-15.71586	-97.48566
126.5625	-15.36037	-97.25462
126.875	-15.07848	-97.34734
127.1875	-14.73168	-97.29913
127.5	-14.4099	-97.27443
127.8125	-14.05148	-97.37791
128.125	-13.74258	-97.5445
128.4375	-13.39452	-97.49733
128.75	-13.04422	-97.86163
129.0625	-12.77071	-97.82258
129.375	-12.41734	-97.74735
129.6875	-12.04995	-97.18727
130	-11.67921	-97.4558
130.3125	-11.27301	-97.55859
130.625	-10.86633	-97.59069
130.9375	-10.45042	-97.5918
131.25	-10.03466	-97.76025
131.5625	-9.572692	-97.97842
131.875	-9.138952	-98.11869
132.1875	-8.66456	-98.11819
132.5	-8.173737	-98.46308
132.8125	-7.667189	-98.60184
133.125	-7.135477	-98.88512
133.4375	-6.581857	-99.0661
133.75	-6.020885	-99.60525
134.0625	-5.428942	-99.84879
134.375	-4.783874	-100.2601
134.6875	-4.099629	-100.8143
135	-3.381316	-101.4131
135.3125	-2.623576	-101.968
135.625	-1.795624	-102.3895
135.9375	-0.8478931	-103.3526
136.25	0.162095	-104.5574
136.5625	1.25564	-106.0673
136.875	2.475018	-107.7818
137.1875	3.863853	-110.2049
137.5	5.428843	-113.6113
137.8125	7.239276	-118.1949
138.125	9.377302	-125.2146
138.4375	11.85648	-136.1042
138.75	14.6934	-154.3872
139.0625	16.84666	172.4496
139.375	15.73812	133.4978
139.6875	12.34435	107.6938
140	8.810871	96.94255
140.3125	6.151202	93.93629
140.625	4.222704	93.16641
140.9375	2.778191	93.10312
141.25	1.629375	92.60535
141.5625	0.6124254	92.2144
141.875	-0.2791765	92.13638
142.1875	-1.073698	91.64551
142.5	-1.802567	91.64922
142.8125	-2.444936	91.42418
143.125	-3.052232	91.3138
143.4375	-3.594826	91.32602
143.75	-4.10399	91.31538
144.0625	-4.568635	91.19061
144.375	-5.006398	91.19191
144.6875	-5.405693	91.15443
145	-5.783217	91.23297
145.3125	-6.139427	91.31868
145.625	-6.477967	91.32758
145.9375	-6.804302	91.21867
146.25	-7.097788	91.04363
146.5625	-7.381241	91.08864
146.875	-7.657828	90.97778
147.1875	-7.923774	91.08733
147.5	-8.166534	91.23427
147.8125	-8.391652	91.1688
148.125	-8.633053	90.8982
