Frequency	Magnitude	Phase
0.3125	-78.38937	-96.18216
0.625	-75.45699	-95.78085
0.9375	-82.08035	-105.5028
1.25	-74.47634	-121.7575
1.5625	-71.37104	-110.5862
1.875	-71.19677	-117.3566
2.1875	-67.27879	-102.9151
2.5	-66.50468	-107.1651
2.8125	-65.65314	-110.2621
3.125	-68.56112	-141.4765
3.4375	-65.79897	-114.847
3.75	-66.16466	-111.9369
4.0625	-70.23921	-115.9096
4.375	-65.78787	-109.2394
4.6875	-66.56178	-118.8727
5	-62.94762	-147.2094
5.3125	-69.44489	-114.5102
5.625	-63.95537	-144.068
5.9375	-65.94432	-120.434
6.25	-63.41341	-139.3572
6.5625	-61.95787	-136.5469
6.875	-61.43104	-138.9624
7.1875	-63.90084	-129.7673
7.5	-67.74789	-128.0422
7.8125	-64.51714	-121.8944
8.125	-64.46263	-167.5392
8.4375	-63.0611	-169.0172
8.75	-62.31703	-168.3838
9.0625	-65.34999	-129.9778
9.375	-62.05082	-152.1816
9.6875	-63.24257	-157.1656
10	-65.01288	-178.4771
10.3125	-62.29758	-169.387
10.625	-63.93676	174.1111
10.9375	-62.13164	177.8176
11.25	-61.87008	168.5313
11.5625	-61.39836	173.0599
11.875	-61.83903	-177.0703
12.1875	-63.98993	138.3234
12.5	-64.88082	150.6679
12.8125	-62.18816	177.9563
13.125	-60.52493	156.498
13.4375	-62.92659	132.9986
13.75	-58.84533	137.5612
14.0625	-57.42554	130.8374
14.375	-57.74735	121.4577
14.6875	-56.40265	109.8093
15	-56.5614	124.3964
15.3125	-54.29326	112.6095
15.625	-52.4367	98.82445
15.9375	-52.01315	97.97855
16.25	-50.49726	88.73184
16.5625	-48.86839	74.90462
16.875	-47.17798	58.77085
17.1875	-48.35743	38.97821
17.5	-53.48797	45.38638
17.8125	-53.32671	84.1733
18.125	-50.31563	90.21163
18.4375	-46.70134	85.92233
18.75	-45.0214	86.58794
19.0625	-42.97876	85.38613
19.375	-40.9718	84.44243
19.6875	-38.66053	81.70816
20	-36.05485	74.14637
20.3125	-33.55915	64.74053
20.625	-31.0297	56.72511
20.9375	-28.77973	46.9259
21.25	-26.6186	32.43062
21.5625	-24.6924	13.37554
21.875	-23.17251	-9.631546
22.1875	-22.23154	-36.13803
22.5	-21.90579	-65.9771
22.8125	-24.09378	-92.04141
23.125	-29.48363	-98.25011
23.4375	-31.17681	-88.76593
23.75	-30.75263	-100.9088
24.0625	-30.70227	-105.0128
24.375	-31.40363	-101.9769
24.6875	-32.70937	-102.0272
25	-32.87805	-106.3281
25.3125	-32.27508	-112.5242
25.625	-32.06101	-115.6051
25.9375	-32.40724	-118.218
26.25	-32.27009	-126.917
26.5625	-32.02582	-132.58
26.875	-32.89594	-139.9301
27.1875	-34.50283	-153.1528
27.5	-35.80386	-164.117
27.8125	-36.54887	-163.4909
28.125	-38.20884	-151.6222
28.4375	-39.8031	-145.5665
28.75	-40.11114	-143.8748
29.0625	-39.16624	-141.983
29.375	-38.81485	-129.6837
29.6875	-37.86252	-122.9655
30	-35.92721	-123.6006
30.3125	-32.82108	-133.1166
30.625	-30.80752	-154.3149
30.9375	-30.10599	160.6517
31.25	-36.88287	111.0931
31.5625	-46.64003	158.2413
31.875	-41.6245	-157.7887
32.1875	-38.72078	-178.0178
32.5	-39.55681	153.8972
32.8125	-41.94211	147.6981
33.125	-44.66332	153.0164
33.4375	-49.15514	152.4107
33.75	-49.93285	158.8848
34.0625	-50.66763	167.3465
34.375	-51.8976	-166.8351
34.6875	-52.4045	-156.0316
35	-54.27126	-150.1886
35.3125	-52.41275	-136.9116
35.625	-49.18327	-133.3718
35.9375	-50.13848	-134.9217
36.25	-50.60506	-131.991
36.5625	-48.82572	-128.5368
36.875	-48.73214	-120.0071
37.1875	-48.62081	-126.3147
37.5	-48.84489	-120.1793
37.8125	-47.90652	-123.1257
38.125	-47.28469	-115.14
38.4375	-47.90966	-121.8922
38.75	-47.74895	-123.0306
39.0625	-47.07693	-120.8001
39.375	-46.60623	-118.5675
39.6875	-46.7103	-121.2616
40	-46.29606	-117.4864
40.3125	-46.8828	-120.294
40.625	-50.24286	-93.20198
40.9375	-43.46011	-92.92799
41.25	-43.55524	-111.1566
41.5625	-44.44391	-110.8496
41.875	-44.94577	-115.1029
42.1875	-44.47998	-114.0625
42.5	-45.24945	-116.162
42.8125	-44.76153	-116.0504
43.125	-44.30407	-112.6565
43.4375	-43.73406	-109.7325
43.75	-44.05996	-104.8737
44.0625	-42.95281	-113.378
44.375	-43.5288	-117.0059
44.6875	-44.12354	-118.4023
45	-43.73203	-112.8495
45.3125	-42.95403	-110.7876
45.625	-44.37096	-113.9284
45.9375	-44.22025	-115.5326
46.25	-44.74258	-113.0847
46.5625	-44.72105	-109.2763
46.875	-43.98719	-110.5573
47.1875	-43.55667	-102.2132
47.5	-43.86015	-109.4018
47.8125	-43.28967	-105.3264
48.125	-42.78971	-108.5755
48.4375	-42.55583	-107.7868
48.75	-42.40747	-102.3901
49.0625	-43.1261	-102.9665
49.375	-42.4382	-105.6418
49.6875	-42.3394	-109.8904
50	-42.15084	-109.3872
50.3125	-42.03603	-105.0185
50.625	-41.95281	-104.8104
50.9375	-41.9146	-107.6484
51.25	-41.66798	-106.2947
51.5625	-41.34537	-107.0638
51.875	-41.00735	-101.5671
52.1875	-41.24695	-106.2012
52.5	-41.4804	-101.0809
52.8125	-41.5918	-108.7709
53.125	-41.1132	-108.4717
53.4375	-41.04516	-107.3809
53.75	-40.6445	-102.5474
54.0625	-41.1144	-102.649
54.375	-39.92554	-104.0382
54.6875	-39.93178	-106.0254
55	-39.86744	-100.7248
55.3125	-39.51506	-104.6802
55.625	-39.32419	-105.1819
55.9375	-39.49988	-101.7218
56.25	-39.21231	-104.5759
56.5625	-39.53598	-104.6874
56.875	-39.27374	-104.1971
57.1875	-39.25297	-103.5889
57.5	-39.37009	-105.7391
57.8125	-38.93769	-107.7899
58.125	-38.58498	-107.1807
58.4375	-38.6127	-106.1482
58.75	-38.20034	-105.9798
59.0625	-38.23918	-104.6849
59.375	-38.4225	-105.5044
59.6875	-38.5717	-106.8114
60	-38.29933	-108.9768
60.3125	-38.51165	-109.0028
60.625	-37.56688	-104.9653
60.9375	-37.79937	-105.4361
61.25	-37.6386	-106.464
61.5625	-37.96181	-110.6547
61.875	-37.4316	-108.2629
62.1875	-37.63584	-106.948
62.5	-37.56735	-104.0251
62.8125	-37.09324	-106.3091
63.125	-37.04314	-106.9796
63.4375	-37.03426	-106.9148
63.75	-36.7501	-107.8079
64.0625	-36.83197	-105.9487
64.375	-36.4598	-106.659
64.6875	-36.74068	-108.0645
65	-36.68993	-108.8458
65.3125	-36.59512	-107.8425
65.625	-36.2833	-106.2017
65.9375	-36.38589	-104.3968
66.25	-36.55661	-105.2871
66.5625	-35.87074	-104.8403
66.875	-35.89912	-106.2092
67.1875	-35.72417	-102.6277
67.5	-35.28642	-106.2622
67.8125	-35.354	-102.2891
68.125	-34.85737	-104.5395
68.4375	-34.65053	-104.1217
68.75	-34.73046	-106.6219
69.0625	-34.2287	-104.1445
69.375	-33.95242	-103.3536
69.6875	-34.54523	-104.625
70	-33.9377	-108.0893
70.3125	-34.14682	-106.4731
70.625	-34.16328	-106.2455
70.9375	-34.41492	-106.9269
71.25	-34.07684	-106.0234
71.5625	-33.65361	-104.7593
71.875	-33.39666	-104.8046
72.1875	-33.34194	-104.3829
72.5	-33.37449	-105.3332
72.8125	-32.81067	-104.1141
73.125	-32.80851	-101.2071
73.4375	-32.55736	-104.825
73.75	-32.00924	-105.6915
74.0625	-31.9833	-105.3709
