Frequency	Magnitude	Phase
0.3125	-51.44108	129.9583
0.625	-56.7394	-14.58426
0.9375	-48.17844	-97.24764
1.25	-48.73101	-53.89978
1.5625	-54.15475	-3.560353
1.875	-54.81665	-2.840937
2.1875	-53.07335	17.39948
2.5	-55.78805	21.93578
2.8125	-55.50923	19.98098
3.125	-58.48169	41.25405
3.4375	-59.11072	28.72056
3.75	-59.22529	47.29335
4.0625	-57.60355	51.81837
4.375	-57.67302	35.81363
4.6875	-57.55714	57.07269
5	-56.49457	60.24833
5.3125	-58.19307	71.78736
5.625	-58.42104	66.34818
5.9375	-57.3922	77.27461
6.25	-57.58682	70.45729
6.5625	-56.02068	83.96815
6.875	-55.48106	86.9796
7.1875	-55.3636	90.95951
7.5	-56.31699	92.61888
7.8125	-57.14449	96.10604
8.125	-55.37503	97.09395
8.4375	-56.36967	100.7397
8.75	-54.81264	104.8159
9.0625	-55.29988	112.4356
9.375	-56.58125	100.3316
9.6875	-55.76383	110.9054
10	-57.12909	110.6914
10.3125	-56.02514	111.2119
10.625	-54.50539	103.5521
10.9375	-54.49307	116.6923
11.25	-55.21813	109.9579
11.5625	-53.31889	127.4021
11.875	-52.99863	122.3504
12.1875	-52.19019	129.4473
12.5	-52.8292	108.5845
12.8125	-53.91795	121.2859
13.125	-52.91292	129.6273
13.4375	-53.5097	126.9011
13.75	-52.69672	123.1653
14.0625	-52.09644	119.9811
14.375	-51.65764	115.9721
14.6875	-51.79388	112.9463
15	-52.37721	118.8078
15.3125	-50.54082	115.4157
15.625	-50.70327	100.4885
15.9375	-49.89563	95.42115
16.25	-50.06514	80.42591
16.5625	-50.69508	65.20593
16.875	-53.73684	68.11991
17.1875	-51.32922	91.70484
17.5	-49.8707	95.82242
17.8125	-48.83187	93.59059
18.125	-46.43928	94.49812
18.4375	-46.27742	90.58297
18.75	-44.05536	89.12168
19.0625	-42.13066	85.15377
19.375	-40.36328	81.86045
19.6875	-38.40845	76.86807
20	-35.76474	73.2244
20.3125	-33.38447	70.47177
20.625	-30.61283	66.99015
20.9375	-27.32055	61.23177
21.25	-22.84153	50.0276
21.5625	-17.03491	20.13776
21.875	-14.54783	-55.57639
22.1875	-21.63387	-90.38439
22.5	-25.15333	-95.75754
22.8125	-27.20583	-99.64735
23.125	-28.90947	-104.29
23.4375	-29.98631	-107.3904
23.75	-31.0102	-110.2817
24.0625	-31.93233	-113.7861
24.375	-32.56171	-113.2196
24.6875	-33.20504	-112.8227
25	-33.43568	-116.1589
25.3125	-33.38744	-118.6207
25.625	-33.58971	-121.361
25.9375	-33.77535	-126.3297
26.25	-33.94239	-130.1121
26.5625	-34.47491	-141.7722
26.875	-35.46435	-151.7834
27.1875	-37.5	-157.0289
27.5	-39.66077	-164.8523
27.8125	-43.46595	-162.431
28.125	-45.76765	-143.4834
28.4375	-44.05243	-121.898
28.75	-41.98031	-114.6042
29.0625	-41.01459	-112.6534
29.375	-39.35485	-114.4676
29.6875	-38.22544	-120.245
30	-36.48545	-126.5184
30.3125	-34.69703	-135.991
30.625	-31.97721	-160.9488
30.9375	-32.70387	140.9145
31.25	-41.14029	120.8978
31.5625	-46.16707	135.5776
31.875	-47.46295	167.2256
32.1875	-44.51088	160.952
32.5	-43.34001	142.2636
32.8125	-46.86451	128.0022
33.125	-50.60497	117.9872
33.4375	-53.13282	121.16
33.75	-57.41353	109.1866
34.0625	-58.08842	113.9262
34.375	-60.71667	-179.684
34.6875	-57.84308	172.3452
35	-57.7449	174.1346
35.3125	-61.86275	-126.3937
35.625	-61.17649	-121.5538
35.9375	-57.21741	-131.6189
36.25	-56.51466	-132.9216
36.5625	-56.895	-129.4023
36.875	-55.73724	-143.0209
37.1875	-55.59492	-123.9792
37.5	-55.57607	-114.0791
37.8125	-57.10262	-114.3223
38.125	-54.6084	-121.1859
38.4375	-55.79872	-113.8651
38.75	-52.86764	-121.1663
39.0625	-52.70067	-125.6507
